Triple,Model Score,SUBJECT_CUI,SUBJECT_NAME,PREDICATE,OBJECT_CUI,OBJECT_NAME
"[1260, 9, 546]",[9.14863109588623],C0009262,colchicine,TREATS,C0004238,Atrial Fibrillation
"[7197, 9, 4822]",[8.879280090332031],C0085208,bupropion,TREATS,C0036341,Schizophrenia
"[5363, 9, 588]",[8.51492691040039],C0040341,tobramycin,TREATS,C0004626,"Pneumonia, Bacterial"
"[1563, 9, 3835]",[8.477203369140625],C0011777,dexamethasone,TREATS,C0028754,Obesity
"[9022, 9, 3680]",[8.33775806427002],C0220578,palonosetron,TREATS,C0027497,Nausea
"[2169, 9, 929]",[8.328761100769043],C0016360,fluorouracil,TREATS,C0007134,Renal Cell Carcinoma
"[10030, 9, 546]",[8.322197914123535],C0286651,atorvastatin,TREATS,C0004238,Atrial Fibrillation
"[6815, 9, 4822]",[8.223535537719727],C0074393,sertraline,TREATS,C0036341,Schizophrenia
"[3149, 9, 7739]",[8.182771682739258],C0023660,lidocaine,TREATS,C0150055,Chronic pain
"[4363, 9, 1430]",[8.154529571533203],C0032950,prednisolone,TREATS,C0010674,Cystic Fibrosis
"[13362, 9, 929]",[8.064126968383789],C0796392,bevacizumab,TREATS,C0007134,Renal Cell Carcinoma
"[4229, 9, 4822]",[8.028972625732422],C0031935,pimozide,TREATS,C0036341,Schizophrenia
"[7657, 9, 930]",[7.997517108917236],C0144576,paclitaxel,TREATS,C0007137,Squamous cell carcinoma
"[6966, 9, 4822]",[7.977768421173096],C0078569,venlafaxine,TREATS,C0036341,Schizophrenia
"[9444, 9, 4822]",[7.975626468658447],C0245561,duloxetine,TREATS,C0036341,Schizophrenia
"[3211, 9, 4822]",[7.84623384475708],C0024002,lorazepam,TREATS,C0036341,Schizophrenia
"[10578, 9, 506]",[7.734988689422607],C0357126,epoetin alfa,TREATS,C0003873,Rheumatoid Arthritis
"[1914, 9, 532]",[7.580892086029053],C0014563,epinephrine,TREATS,C0004096,Asthma
"[229, 9, 4822]",[7.552088737487793],C0002333,alprazolam,TREATS,C0036341,Schizophrenia
"[6326, 9, 4822]",[7.527713298797607],C0060926,gabapentin,TREATS,C0036341,Schizophrenia
"[1563, 9, 929]",[7.489344596862793],C0011777,dexamethasone,TREATS,C0007134,Renal Cell Carcinoma
"[260, 9, 2469]",[7.43789529800415],C0002502,amiloride,TREATS,C0018802,Congestive heart failure
"[1965, 9, 1866]",[7.3989362716674805],C0014912,estradiol,TREATS,C0014175,Endometriosis
"[2329, 9, 3835]",[7.3295722007751465],C0017687,glucagon,TREATS,C0028754,Obesity
"[1416, 9, 927]",[7.300826549530029],C0010583,cyclophosphamide,TREATS,C0007131,Non-Small Cell Lung Carcinoma
