Triple,Model Score,SUBJECT_CUI,SUBJECT_NAME,PREDICATE,OBJECT_CUI,OBJECT_NAME,PMID_List,PubMed_URLs,PMID_Details
"[5877, 9, 2155]",[4.481145858764648],C0071842,prednisolone phosphate,TREATS,C0018567,Hand Dermatoses,,,
"[15072, 9, 518]",[4.2110137939453125],C4482908,lefamulin,TREATS,C0004623,Bacterial Infections,"['39547815', '39461673', '38791439', '38614111', '38508535', '38385364', '38301712', '38195348', '38174805', '38113528']","['39547815: https://pubmed.ncbi.nlm.nih.gov/39547815', '39461673: https://pubmed.ncbi.nlm.nih.gov/39461673', '38791439: https://pubmed.ncbi.nlm.nih.gov/38791439', '38614111: https://pubmed.ncbi.nlm.nih.gov/38614111', '38508535: https://pubmed.ncbi.nlm.nih.gov/38508535', '38385364: https://pubmed.ncbi.nlm.nih.gov/38385364', '38301712: https://pubmed.ncbi.nlm.nih.gov/38301712', '38195348: https://pubmed.ncbi.nlm.nih.gov/38195348', '38174805: https://pubmed.ncbi.nlm.nih.gov/38174805', '38113528: https://pubmed.ncbi.nlm.nih.gov/38113528']","{'39547815': {'Title': 'Lefamulin for Mycoplasma genitalium treatment failure in Australia and the USA: a case series and pilot open-label parallel arm randomised trial.', 'Authors': 'Ramchandani MS, Plummer EL, Parker A, Vodstrcil LA, Soge OO, Aguirre I, Kim J, Hughes JP, Barbee LA, Jensen JS, Manhart LE, Bradshaw CS', 'Source': 'Sex Transm Infect', 'PubDate': '2024 Nov 15', 'DOI': '10.1136/sextrans-2024-056338', 'Volume': '', 'Issue': '', 'Pages': '', 'URL': '39547815: https://pubmed.ncbi.nlm.nih.gov/39547815'}, '39461673': {'Title': 'Assessment of lefamulin 20 µg disk versus broth microdilution when tested against common respiratory pathogens.', 'Authors': 'Cao Y, Zhu J, Liang B, Guo Y, Ding L, Hu F', 'Source': 'Int J Antimicrob Agents', 'PubDate': '2024 Oct 25', 'DOI': '10.1016/j.ijantimicag.2024.107366', 'Volume': '64', 'Issue': '6', 'Pages': '107366', 'URL': '39461673: https://pubmed.ncbi.nlm.nih.gov/39461673'}, '38791439': {'Title': 'In Vivo Immune-Modulatory Activity of Lefamulin in an Influenza Virus A (H1N1) Infection Model in Mice.', 'Authors': 'Paukner S, Kimber S, Cumper C, Rea-Davies T, Sueiro Ballesteros L, Kirkham C, Hargreaves A, Gelone SP, Richards C, Wicha WW', 'Source': 'Int J Mol Sci', 'PubDate': '2024 May 15', 'DOI': '10.3390/ijms25105401', 'Volume': '25', 'Issue': '10', 'Pages': '', 'URL': '38791439: https://pubmed.ncbi.nlm.nih.gov/38791439'}, '38614111': {'Title': 'Antimicrobial-resistant Neisseria gonorrhoeae in Europe in 2020 compared with in 2013 and 2018: a retrospective genomic surveillance study.', 'Authors': 'Golparian D, Cole MJ, Sánchez-Busó L, Day M, Jacobsson S, Uthayakumaran T, Abad R, Bercot B, Caugant DA, Heuer D, Jansen K, Pleininger S, Stefanelli P, Aanensen DM, Bluemel B, Unemo M, Euro-GASP study group', 'Source': 'Lancet Microbe', 'PubDate': '2024 May', 'DOI': '10.1016/S2666-5247(23)00370-1', 'Volume': '5', 'Issue': '5', 'Pages': 'e478-e488', 'URL': '38614111: https://pubmed.ncbi.nlm.nih.gov/38614111'}, '38508535': {'Title': 'Integrative model-based comparison of target site-specific antimicrobial effects: A case study with ceftaroline and lefamulin.', 'Authors': 'van Os W, Pham AD, Eberl S, Minichmayr IK, van Hasselt JGC, Zeitlinger M', 'Source': 'Int J Antimicrob Agents', 'PubDate': '2024 May', 'DOI': '10.1016/j.ijantimicag.2024.107148', 'Volume': '63', 'Issue': '5', 'Pages': '107148', 'URL': '38508535: https://pubmed.ncbi.nlm.nih.gov/38508535'}, '38385364': {'Title': 'Hit-to-Lead Identification and Validation of a Triaromatic Pleuromutilin Antibiotic Candidate.', 'Authors': 'Heidtmann CV, Fejer AR, Stærk K, Pedersen M, Asmussen MG, Hertz FB, Prabhala BK, Frimodt-Møller N, Klitgaard JK, Andersen TE, Nielsen CU, Nielsen P', 'Source': 'J Med Chem', 'PubDate': '2024 Mar 14', 'DOI': '10.1021/acs.jmedchem.3c02153', 'Volume': '67', 'Issue': '5', 'Pages': '3692-3710', 'URL': '38385364: https://pubmed.ncbi.nlm.nih.gov/38385364'}, '38301712': {'Title': 'Antibiotic Strategies for Severe Community-Acquired Pneumonia.', 'Authors': 'Bassetti M, Giacobbe DR, Magnasco L, Fantin A, Vena A, Castaldo N', 'Source': 'Semin Respir Crit Care Med', 'PubDate': '2024 Apr', 'DOI': '10.1055/s-0043-1778641', 'Volume': '45', 'Issue': '2', 'Pages': '187-199', 'URL': '38301712: https://pubmed.ncbi.nlm.nih.gov/38301712'}, '38195348': {'Title': 'Safety and Pharmacokinetics Following Oral or Intravenous Lefamulin in Adults With Cystic Fibrosis.', 'Authors': 'Sawicki GS, Wicha WW, Hiley TS, Close NC, Gelone SP, Guico-Pabia CJ', 'Source': 'Clin Ther', 'PubDate': '2024 Feb', 'DOI': '10.1016/j.clinthera.2023.12.002', 'Volume': '46', 'Issue': '2', 'Pages': '96-103', 'URL': '38195348: https://pubmed.ncbi.nlm.nih.gov/38195348'}, '38174805': {'Title': 'Target attainment of intravenous lefamulin for treatment of acute bacterial skin and skin structure infections.', 'Authors': 'van Os W, Zeitlinger M', 'Source': 'J Antimicrob Chemother', 'PubDate': '2024 Feb 1', 'DOI': '10.1093/jac/dkad401', 'Volume': '79', 'Issue': '2', 'Pages': '443-446', 'URL': '38174805: https://pubmed.ncbi.nlm.nih.gov/38174805'}, '38113528': {'Title': '7-Year (2015-21) longitudinal surveillance of lefamulin in vitro activity against bacterial pathogens collected worldwide from patients with respiratory tract infections including pneumonia and characterization of resistance mechanisms.', 'Authors': 'Paukner S, Mendes RE, Arends SJR, Gassner G, Gelone SP, Sader HS', 'Source': 'J Antimicrob Chemother', 'PubDate': '2024 Feb 1', 'DOI': '10.1093/jac/dkad389', 'Volume': '79', 'Issue': '2', 'Pages': '360-369', 'URL': '38113528: https://pubmed.ncbi.nlm.nih.gov/38113528'}}"
"[551, 9, 4179]",[4.136944770812988],C0004975,Bendroflumethiazide,TREATS,C0035457,"Rhinitis, Allergic, Perennial",,,
"[5657, 9, 6830]",[3.8317551612854004],C0065162,lomefloxacin,TREATS,C0153195,Acute gonococcal cervicitis,['1325892'],['1325892: https://pubmed.ncbi.nlm.nih.gov/1325892'],"{'1325892': {'Title': 'Lomefloxacin and temafloxacin: two new fluoroquinolone antimicrobials.', 'Authors': 'Symonds WT, Nix DE', 'Source': 'Clin Pharm', 'PubDate': '1992 Sep', 'DOI': 'No DOI available', 'Volume': '11', 'Issue': '9', 'Pages': '753-66', 'URL': '1325892: https://pubmed.ncbi.nlm.nih.gov/1325892'}}"
"[913, 9, 6310]",[3.412395477294922],C0007716,cephalexin,TREATS,C0085394,Serratia Infections,"['31643977', '26920557', '23286809', '16875810', '11991409', '9921014', '1726210', '2329100', '2802558', '2504597']","['31643977: https://pubmed.ncbi.nlm.nih.gov/31643977', '26920557: https://pubmed.ncbi.nlm.nih.gov/26920557', '23286809: https://pubmed.ncbi.nlm.nih.gov/23286809', '16875810: https://pubmed.ncbi.nlm.nih.gov/16875810', '11991409: https://pubmed.ncbi.nlm.nih.gov/11991409', '9921014: https://pubmed.ncbi.nlm.nih.gov/9921014', '1726210: https://pubmed.ncbi.nlm.nih.gov/1726210', '2329100: https://pubmed.ncbi.nlm.nih.gov/2329100', '2802558: https://pubmed.ncbi.nlm.nih.gov/2802558', '2504597: https://pubmed.ncbi.nlm.nih.gov/2504597']","{'31643977': {'Title': 'Cephalosporins.', 'Authors': '', 'Source': '', 'PubDate': '2012', 'DOI': 'No DOI available', 'Volume': '', 'Issue': '', 'Pages': '', 'URL': '31643977: https://pubmed.ncbi.nlm.nih.gov/31643977'}, '26920557': {'Title': 'Antagonistic Activity of Nocardia brasiliensis PTCC 1422 Against Isolated Enterobacteriaceae from Urinary Tract Infections.', 'Authors': 'Jalali HK, Salamatzadeh A, Jalali AK, Kashani HH, Asbchin SA, Issazadeh K', 'Source': 'Probiotics Antimicrob Proteins', 'PubDate': '2016 Mar', 'DOI': '10.1007/s12602-016-9207-0', 'Volume': '8', 'Issue': '1', 'Pages': '41-5', 'URL': '26920557: https://pubmed.ncbi.nlm.nih.gov/26920557'}, '23286809': {'Title': 'Serratia marcescens folliculitis and concomitant acne vulgaris.', 'Authors': 'Lehrhoff S, Yost J, Robinson M, Patel R, Sanchez M', 'Source': 'Dermatol Online J', 'PubDate': '2012 Dec 15', 'DOI': 'No DOI available', 'Volume': '18', 'Issue': '12', 'Pages': '19', 'URL': '23286809: https://pubmed.ncbi.nlm.nih.gov/23286809'}, '16875810': {'Title': 'Characterization of imipenem-resistant Serratia marcescens producing IMP-type and TEM-type beta-lactamases encoded on a single plasmid.', 'Authors': 'Zhao WH, Hu ZQ, Chen G, Matsushita K, Fukuchi K, Shimamura T', 'Source': 'Microbiol Res', 'PubDate': '2007', 'DOI': '10.1016/j.micres.2006.06.005', 'Volume': '162', 'Issue': '1', 'Pages': '46-52', 'URL': '16875810: https://pubmed.ncbi.nlm.nih.gov/16875810'}, '11991409': {'Title': 'Bacterial colonization of intravenous catheters in young dogs suspected to have parvoviral enteritis.', 'Authors': 'Lobetti RG, Joubert KE, Picard J, Carstens J, Pretorius E', 'Source': 'J Am Vet Med Assoc', 'PubDate': '2002 May 1', 'DOI': '10.2460/javma.2002.220.1321', 'Volume': '220', 'Issue': '9', 'Pages': '1321-4', 'URL': '11991409: https://pubmed.ncbi.nlm.nih.gov/11991409'}, '9921014': {'Title': '[Antibiotic sensitivity of bacteria isolated from the urine of children with urinary tract infections from 1986 to 1995].', 'Authors': 'Lazarević G, Petreska D, Pavlović S', 'Source': 'Srp Arh Celok Lek', 'PubDate': '1998 Nov-Dec', 'DOI': 'No DOI available', 'Volume': '126', 'Issue': '11-12', 'Pages': '423-9', 'URL': '9921014: https://pubmed.ncbi.nlm.nih.gov/9921014'}, '1726210': {'Title': 'Microbiological evaluation of cefpodoxime proxetil.', 'Authors': 'Wiedemann B, Luhmer E, Zühlsdorf MT', 'Source': 'Drugs', 'PubDate': '1991', 'DOI': '10.2165/00003495-199100423-00004', 'Volume': '42 Suppl 3', 'Issue': '', 'Pages': '6-12', 'URL': '1726210: https://pubmed.ncbi.nlm.nih.gov/1726210'}, '2329100': {'Title': 'The in-vitro activity of ceftibuten against 475 clinical isolates of gram-negative bacilli, compared with cefuroxime and cefadroxil.', 'Authors': 'Bragman SG, Casewell MW', 'Source': 'J Antimicrob Chemother', 'PubDate': '1990 Feb', 'DOI': '10.1093/jac/25.2.221', 'Volume': '25', 'Issue': '2', 'Pages': '221-6', 'URL': '2329100: https://pubmed.ncbi.nlm.nih.gov/2329100'}, '2802558': {'Title': 'beta-Lactamase stability and in vitro activity of oral cephalosporins against strains possessing well-characterized mechanisms of resistance.', 'Authors': 'Sanders CC', 'Source': 'Antimicrob Agents Chemother', 'PubDate': '1989 Aug', 'DOI': '10.1128/AAC.33.8.1313', 'Volume': '33', 'Issue': '8', 'Pages': '1313-7', 'URL': '2802558: https://pubmed.ncbi.nlm.nih.gov/2802558'}, '2504597': {'Title': 'In vitro antibacterial properties of cefetamet and in vivo activity of its orally absorbable ester derivative, cefetamet pivoxil.', 'Authors': 'Angehrn P, Hohl P, Then RL', 'Source': 'Eur J Clin Microbiol Infect Dis', 'PubDate': '1989 Jun', 'DOI': '10.1007/BF01967476', 'Volume': '8', 'Issue': '6', 'Pages': '536-43', 'URL': '2504597: https://pubmed.ncbi.nlm.nih.gov/2504597'}}"
"[5354, 9, 1225]",[3.2349720001220703],C0055881,clindamycin phosphate,TREATS,C0010346,Crohn's disease,,,
"[5377, 9, 1159]",[2.7866744995117188],C0056519,crotamiton,TREATS,C0009766,Allergic Conjunctivitis,,,
"[3983, 9, 2998]",[2.613499879837036],C0033978,Psychotropic Drugs,TREATS,C0025322,Premature Menopause,"['37647930', '35662548', '28609392', '26721361', '24852403', '23528735', '23320652', '23176759', '23082606', '22721806']","['37647930: https://pubmed.ncbi.nlm.nih.gov/37647930', '35662548: https://pubmed.ncbi.nlm.nih.gov/35662548', '28609392: https://pubmed.ncbi.nlm.nih.gov/28609392', '26721361: https://pubmed.ncbi.nlm.nih.gov/26721361', '24852403: https://pubmed.ncbi.nlm.nih.gov/24852403', '23528735: https://pubmed.ncbi.nlm.nih.gov/23528735', '23320652: https://pubmed.ncbi.nlm.nih.gov/23320652', '23176759: https://pubmed.ncbi.nlm.nih.gov/23176759', '23082606: https://pubmed.ncbi.nlm.nih.gov/23082606', '22721806: https://pubmed.ncbi.nlm.nih.gov/22721806']","{'37647930': {'Title': 'Evaluation and Comparison of Citalopram and Venlafaxine for Management of Hot Flashes in Women with Breast Cancer.', 'Authors': 'Taleghani SY, Etesam F, Esfandbod M', 'Source': 'Drug Res (Stuttg)', 'PubDate': '2023 Oct', 'DOI': '10.1055/a-2061-7020', 'Volume': '73', 'Issue': '8', 'Pages': '465-472', 'URL': '37647930: https://pubmed.ncbi.nlm.nih.gov/37647930'}, '35662548': {'Title': 'Impact of cannabinoids on pregnancy, reproductive health, and offspring outcomes.', 'Authors': 'Lo JO, Hedges JC, Girardi G', 'Source': 'Am J Obstet Gynecol', 'PubDate': '2022 Oct', 'DOI': '10.1016/j.ajog.2022.05.056', 'Volume': '227', 'Issue': '4', 'Pages': '571-581', 'URL': '35662548: https://pubmed.ncbi.nlm.nih.gov/35662548'}, '28609392': {'Title': 'The role of hormone therapy in the management of severe postpartum depression in patients with Turner syndrome.', 'Authors': 'Shea AK, Wolfman W', 'Source': 'Menopause', 'PubDate': '2017 Nov', 'DOI': '10.1097/GME.0000000000000915', 'Volume': '24', 'Issue': '11', 'Pages': '1309-1312', 'URL': '28609392: https://pubmed.ncbi.nlm.nih.gov/28609392'}, '26721361': {'Title': 'Hypoestrogenism alters mood: Ketamine reverses depressive-like behavior induced by ovariectomy in rats.', 'Authors': 'Moreira SF, Nunes EA, Kuo J, de Macedo IC, Muchale A, de Oliveira C, Scarabelot VL, Marques Filho PR, Medeiros LF, Caumo W, Torres IL', 'Source': 'Pharmacol Rep', 'PubDate': '2016 Feb', 'DOI': '10.1016/j.pharep.2015.06.009', 'Volume': '68', 'Issue': '1', 'Pages': '109-15', 'URL': '26721361: https://pubmed.ncbi.nlm.nih.gov/26721361'}, '24852403': {'Title': 'Treatment of climacteric symptoms in breast cancer patients: a retrospective study from a medication databank.', 'Authors': 'Antoine C, Ameye L, Paesmans M, Rozenberg S', 'Source': 'Maturitas', 'PubDate': '2014 Jul', 'DOI': '10.1016/j.maturitas.2014.04.020', 'Volume': '78', 'Issue': '3', 'Pages': '228-32', 'URL': '24852403: https://pubmed.ncbi.nlm.nih.gov/24852403'}, '23528735': {'Title': 'Menopause could be involved in the pathogenesis of muscle and joint aches in mid-aged women.', 'Authors': 'Blümel JE, Chedraui P, Baron G, Belzares E, Bencosme A, Calle A, Danckers L, Espinoza MT, Flores D, Gomez G, Hernandez-Bueno JA, Izaguirre H, Leon-Leon P, Lima S, Mezones-Holguin E, Monterrosa A, Mostajo D, Navarro D, Ojeda E, Onatra W, Royer M, Soto E, Tserotas K, Vallejo MS', 'Source': 'Maturitas', 'PubDate': '2013 May', 'DOI': '10.1016/j.maturitas.2013.02.012', 'Volume': '75', 'Issue': '1', 'Pages': '94-100', 'URL': '23528735: https://pubmed.ncbi.nlm.nih.gov/23528735'}, '23320652': {'Title': 'Differences in clinician understanding and management of early menopause after breast cancer.', 'Authors': 'Sayakhot P, Teede HJ, Gibson-Helm M, Vincent A', 'Source': 'Climacteric', 'PubDate': '2013 Aug', 'DOI': '10.3109/13697137.2013.765842', 'Volume': '16', 'Issue': '4', 'Pages': '479-89', 'URL': '23320652: https://pubmed.ncbi.nlm.nih.gov/23320652'}, '23176759': {'Title': 'Assessment of insomnia and related risk factors in postmenopausal women screened for the metabolic syndrome.', 'Authors': ""Chedraui P, San Miguel G, Villacreses D, Dominguez A, Jaramillo W, Escobar GS, Pérez-López FR, Genazzani AR, Simoncini T, Research Group for the Omega Women's Health Project"", 'Source': 'Maturitas', 'PubDate': '2013 Feb', 'DOI': '10.1016/j.maturitas.2012.10.017', 'Volume': '74', 'Issue': '2', 'Pages': '154-9', 'URL': '23176759: https://pubmed.ncbi.nlm.nih.gov/23176759'}, '23082606': {'Title': 'Breast cancer and menopause: art, science and quality of life.', 'Authors': 'Chism L', 'Source': 'Adv NPs PAs', 'PubDate': '2012 Oct', 'DOI': 'No DOI available', 'Volume': '3', 'Issue': '10', 'Pages': '21-4; quiz 25', 'URL': '23082606: https://pubmed.ncbi.nlm.nih.gov/23082606'}, '22721806': {'Title': 'Perceived stress, insomnia and related factors in women around the menopause.', 'Authors': 'Cuadros JL, Fernández-Alonso AM, Cuadros-Celorrio AM, Fernández-Luzón N, Guadix-Peinado MJ, del Cid-Martín N, Chedraui P, Pérez-López FR, MenopAuse RIsk Assessment (MARIA) Research Group', 'Source': 'Maturitas', 'PubDate': '2012 Aug', 'DOI': '10.1016/j.maturitas.2012.05.012', 'Volume': '72', 'Issue': '4', 'Pages': '367-72', 'URL': '22721806: https://pubmed.ncbi.nlm.nih.gov/22721806'}}"
"[3915, 9, 4439]",[2.6090376377105713],C0033447,propantheline,TREATS,C0038054,"Sprue, Tropical",,,
"[3854, 9, 2409]",[2.416133165359497],C0032950,prednisolone,TREATS,C0020635,Hypopituitarism,"['38769570', '38131878', '36175850', '35435206', '35415221', '34906226', '34307847', '33675204', '33622518', '33087628']","['38769570: https://pubmed.ncbi.nlm.nih.gov/38769570', '38131878: https://pubmed.ncbi.nlm.nih.gov/38131878', '36175850: https://pubmed.ncbi.nlm.nih.gov/36175850', '35435206: https://pubmed.ncbi.nlm.nih.gov/35435206', '35415221: https://pubmed.ncbi.nlm.nih.gov/35415221', '34906226: https://pubmed.ncbi.nlm.nih.gov/34906226', '34307847: https://pubmed.ncbi.nlm.nih.gov/34307847', '33675204: https://pubmed.ncbi.nlm.nih.gov/33675204', '33622518: https://pubmed.ncbi.nlm.nih.gov/33622518', '33087628: https://pubmed.ncbi.nlm.nih.gov/33087628']","{'38769570': {'Title': 'Hypopituitarism with secondary adrenocortical insufficiency and arginine vasopressin deficiency due to hypophysitis after COVID-19 vaccination: a case report.', 'Authors': 'Watanabe S, Tamura Y, Oba K, Kitayama S, Sato M, Kodera R, Toyoshima K, Chiba Y, Araki A', 'Source': 'BMC Endocr Disord', 'PubDate': '2024 May 20', 'DOI': '10.1186/s12902-024-01582-9', 'Volume': '24', 'Issue': '1', 'Pages': '71', 'URL': '38769570: https://pubmed.ncbi.nlm.nih.gov/38769570'}, '38131878': {'Title': 'A case of IgG4-related hypophysitis maintained remission of diabetes insipidus for over 3 months after completion of steroid treatment.', 'Authors': 'Kubori M, Fujimoto M, Okauchi Y, Matsuno K, Yamabayashi E, Sakamoto R, Inada S, Iwahashi H', 'Source': 'Endocrinol Diabetes Metab Case Rep', 'PubDate': '2023 Oct 1', 'DOI': '10.1530/EDM-23-0007', 'Volume': '2023', 'Issue': '4', 'Pages': '', 'URL': '38131878: https://pubmed.ncbi.nlm.nih.gov/38131878'}, '36175850': {'Title': 'Secondary autoimmune hypothalamitis with severe memory impairment 7\u2009years after the onset of diabetes insipidus due to lymphocytic hypophysitis: a case report.', 'Authors': 'Asada T, Takenoshita S, Senda M, Yamamoto K, Sasaki R, Otsuka F, Terada S, Yamada N', 'Source': 'BMC Neurol', 'PubDate': '2022 Sep 29', 'DOI': '10.1186/s12883-022-02891-z', 'Volume': '22', 'Issue': '1', 'Pages': '371', 'URL': '36175850: https://pubmed.ncbi.nlm.nih.gov/36175850'}, '35435206': {'Title': '[Pituitary immune-related adverse events induced by programmed cell death protein 1 inhibitors in advanced lung cancer patients: A report of 3 cases].', 'Authors': 'Gu YC, Liu Y, Xie C, Cao BS', 'Source': 'Beijing Da Xue Xue Bao Yi Xue Ban', 'PubDate': '2022 Apr 18', 'DOI': '10.19723/j.issn.1671-167X.2022.02.027', 'Volume': '54', 'Issue': '2', 'Pages': '369-375', 'URL': '35435206: https://pubmed.ncbi.nlm.nih.gov/35435206'}, '35415221': {'Title': 'Camurati-Engelmann Disease Complicated by Hypopituitarism: Management Challenges and Literature Review of Outcomes With Bisphosphonates.', 'Authors': 'Das L, Dhiman V, Dutta P, Sood A, Prakash M, Kaur S, Steenackers E, Hendrickx G, Dayal D, Van Hul W, Bhadada SK', 'Source': 'AACE Clin Case Rep', 'PubDate': '2022 Mar-Apr', 'DOI': '10.1016/j.aace.2021.10.002', 'Volume': '8', 'Issue': '2', 'Pages': '58-64', 'URL': '35415221: https://pubmed.ncbi.nlm.nih.gov/35415221'}, '34906226': {'Title': 'Recurrent autoimmune hypophysitis treated with rituximab: a case report.', 'Authors': 'Kruse M, Olesen TB, Markovic L, Glintborg D, Andersen MS', 'Source': 'J Med Case Rep', 'PubDate': '2021 Dec 15', 'DOI': '10.1186/s13256-021-03146-0', 'Volume': '15', 'Issue': '1', 'Pages': '591', 'URL': '34906226: https://pubmed.ncbi.nlm.nih.gov/34906226'}, '34307847': {'Title': 'ICAM1-Negative Intravascular Large B-Cell Lymphoma of the Pituitary Gland: A Case Report and Literature Review.', 'Authors': 'Naito K, Suzuki S, Ohwada C, Ishiwata K, Ruike Y, Ishida A, Deguchi-Horiuchi H, Fujimoto M, Koide H, Sakaida E, Horiguchi K, Iwadate Y, Tatsuno I, Inoshita N, Ikeda JI, Tanaka T, Yokote K', 'Source': 'AACE Clin Case Rep', 'PubDate': '2021 Jul-Aug', 'DOI': '10.1016/j.aace.2021.01.011', 'Volume': '7', 'Issue': '4', 'Pages': '249-255', 'URL': '34307847: https://pubmed.ncbi.nlm.nih.gov/34307847'}, '33675204': {'Title': 'IgG4-related hypophysitis in adolescence.', 'Authors': ""Arya VB, El-Gasim SA, Das S, Reisz Z, Zebian B, D'Cruz D, King A, Hampton T, Aylwin SJB, Kapoor RR, Buchanan CR"", 'Source': 'J Pediatr Endocrinol Metab', 'PubDate': '2021 Mar 26', 'DOI': '10.1515/jpem-2020-0535', 'Volume': '34', 'Issue': '3', 'Pages': '395-399', 'URL': '33675204: https://pubmed.ncbi.nlm.nih.gov/33675204'}, '33622518': {'Title': 'Pituitary enlargement following ipilimumab without long term endocrine dysfunction.', 'Authors': 'Nogueira E, Menon A, Dede A, Mitra I, Brock C, Larkin J, Morganstein D', 'Source': 'Curr Probl Cancer', 'PubDate': '2021 Dec', 'DOI': '10.1016/j.currproblcancer.2021.100710', 'Volume': '45', 'Issue': '6', 'Pages': '100710', 'URL': '33622518: https://pubmed.ncbi.nlm.nih.gov/33622518'}, '33087628': {'Title': ""Two cases of symptomatic secondary hypophysitis due to Rathke's cleft cysts treated with glucocorticoids: long-term follow-up."", 'Authors': 'Deguchi-Horiuchi H, Koide H, Sakuma I, Gao Y, Higuchi S, Nagano H, Hashimoto N, Horiguchi K, Iwadate Y, Inoshita N, Yokote K, Tanaka T', 'Source': 'Endocr J', 'PubDate': '2021 Mar 28', 'DOI': '10.1507/endocrj.EJ20-0361', 'Volume': '68', 'Issue': '3', 'Pages': '269-279', 'URL': '33087628: https://pubmed.ncbi.nlm.nih.gov/33087628'}}"
