Triple,Model Score,SUBJECT_CUI,SUBJECT_NAME,PREDICATE,OBJECT_CUI,OBJECT_NAME
"[13434, 9, 1364]",[1.08294635481343e-07],C1690432,denosumab,TREATS,C0011633,Dermatomyositis
"[746, 9, 13217]",[1.0551955398341306e-07],C0006674,calcitriol,TREATS,C1527383,Morphea
"[3243, 9, 445]",[1.0446642306760623e-07],C0027396,naproxen,TREATS,C0003864,Arthritis
"[3395, 9, 1397]",[7.519309264125695e-08],C0028833,octreotide,TREATS,C0011884,Diabetic Retinopathy
"[13104, 9, 9741]",[6.786628858890253e-08],C1515388,Luteohormone,TREATS,C0520676,Premenstrual Dysphoric Disorder
"[222, 9, 617]",[6.64938255567904e-08],C0002475,mitomycin,TREATS,C0005684,Malignant neoplasm of urinary bladder
"[6661, 9, 445]",[4.7894012311644474e-08],C0142825,sodium citrate,TREATS,C0003864,Arthritis
"[12347, 9, 1543]",[4.627522542932638e-08],C1258986,p-hydroxyphenolacetamide,TREATS,C0013274,Patent ductus arteriosus
"[12791, 9, 819]",[4.609280779277469e-08],C1367202,ipilimumab,TREATS,C0007129,Merkel cell carcinoma
"[8137, 9, 3834]",[4.567970890434481e-08],C0249458,valaciclovir,TREATS,C0032768,Postherpetic neuralgia
"[14062, 9, 2755]",[4.514574669656213e-08],C2699562,dasatinib anhydrous,TREATS,C0023473,"Myeloid Leukemia, Chronic"
"[12134, 9, 3807]",[4.418000543182643e-08],C1135135,erlotinib,TREATS,C0032463,Polycythemia Vera
"[13738, 9, 13231]",[4.406300746495617e-08],C1881785,mercaptopurine anhydrous,TREATS,C1531702,Acute lymphoblastic leukemia - category
"[5567, 9, 3256]",[4.3307551322868676e-08],C0061851,ondansetron,TREATS,C0027498,Nausea and vomiting
"[226, 9, 2182]",[4.190448876784103e-08],C0002502,amiloride,TREATS,C0018802,Congestive heart failure
"[12301, 9, 3202]",[3.8454803785725744e-08],C1176309,bortezomib,TREATS,C0026987,Myelofibrosis
"[4997, 9, 3205]",[3.718638907912464e-08],C0042646,vidarabine,TREATS,C0027022,Myeloproliferative disease
"[3629, 9, 829]",[3.576644402869533e-08],C0031013,perhexiline,TREATS,C0007194,Hypertrophic Cardiomyopathy
"[15193, 9, 819]",[3.370777790223656e-08],C4529301,bevacizumab-awwb,TREATS,C0007129,Merkel cell carcinoma
"[12134, 9, 822]",[3.1345045670150284e-08],C1135135,erlotinib,TREATS,C0007137,Squamous cell carcinoma
"[13064, 9, 8831]",[2.9608822060822604e-08],C1513105,Melphalanum,TREATS,C0334634,"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse"
"[3614, 9, 2304]",[2.93823738672927e-08],C0030896,pentostatin,TREATS,C0019829,Hodgkin Disease
"[4021, 9, 10551]",[2.9380757382568845e-08],C0034272,pyridoxine,TREATS,C0686347,Tardive Dyskinesia
"[3072, 9, 10872]",[2.9100901244305533e-08],C0025859,metoprolol,TREATS,C0730285,Macular edema due to diabetes mellitus
"[10413, 9, 819]",[2.8476421221057535e-08],C0671970,capecitabine,TREATS,C0007129,Merkel cell carcinoma
"[10402, 9, 1397]",[2.812587140965661e-08],C0666743,infliximab,TREATS,C0011884,Diabetic Retinopathy
"[9892, 9, 2369]",[2.7509297950700784e-08],C0541315,everolimus,TREATS,C0020459,Hyperinsulinism
"[12122, 9, 2747]",[2.72097544495864e-08],C1134452,MTC-DOX,TREATS,C0023449,Acute lymphocytic leukemia
