Triple,Model Score,SUBJECT_CUI,SUBJECT_NAME,PREDICATE,OBJECT_CUI,OBJECT_NAME
"[11803, 9, 4467]",[-0.5829341411590576],C0937846,esomeprazole,TREATS,C0038358,Gastric ulcer
"[1254, 9, 2747]",[-0.6339045763015747],C0010583,cyclophosphamide,TREATS,C0023449,Acute lymphocytic leukemia
"[4720, 9, 519]",[-0.6715812683105469],C0040341,tobramycin,TREATS,C0004626,"Pneumonia, Bacterial"
"[5705, 9, 519]",[-0.708443284034729],C0066005,meropenem,TREATS,C0004626,"Pneumonia, Bacterial"
"[3051, 9, 2755]",[-0.764611005783081],C0025677,methotrexate,TREATS,C0023473,"Myeloid Leukemia, Chronic"
"[13377, 9, 9352]",[-0.7679868936538696],C1608841,ustekinumab,TREATS,C0406317,Chronic small plaque psoriasis
"[4963, 9, 519]",[-0.7769750356674194],C0042313,vancomycin,TREATS,C0004626,"Pneumonia, Bacterial"
"[1254, 9, 2755]",[-0.7850058674812317],C0010583,cyclophosphamide,TREATS,C0023473,"Myeloid Leukemia, Chronic"
"[5315, 9, 4009]",[-0.7887845039367676],C0055014,ceftibuten,TREATS,C0034186,Pyelonephritis
"[3051, 9, 4164]",[-0.8206769227981567],C0025677,methotrexate,TREATS,C0035335,Retinoblastoma
"[5004, 9, 4164]",[-0.8262438774108887],C0042679,vincristine,TREATS,C0035335,Retinoblastoma
"[3051, 9, 3298]",[-0.8287981748580933],C0025677,methotrexate,TREATS,C0027819,Neuroblastoma
"[10402, 9, 14515]",[-0.8415943384170532],C0666743,infliximab,TREATS,C3495559,Juvenile arthritis
"[5907, 9, 2755]",[-0.8647967576980591],C0072980,sirolimus,TREATS,C0023473,"Myeloid Leukemia, Chronic"
"[3855, 9, 116]",[-0.8657195568084717],C0032952,prednisone,TREATS,C0001627,Congenital adrenal hyperplasia
"[5044, 9, 11841]",[-0.8793124556541443],C0043031,warfarin,TREATS,C0948008,Ischemic stroke
"[12195, 9, 770]",[-0.8852367401123047],C1142738,anidulafungin,TREATS,C0006840,Candidiasis
"[12195, 9, 463]",[-0.8856125473976135],C1142738,anidulafungin,TREATS,C0004030,Aspergillosis
