Triple,Model Score,SUBJECT_CUI,SUBJECT_NAME,PREDICATE,OBJECT_CUI,OBJECT_NAME
"[1416, 9, 927]",[-5.273892402648926],C0010583,cyclophosphamide,TREATS,C0007131,Non-Small Cell Lung Carcinoma
"[5640, 9, 588]",[-5.276669502258301],C0042313,vancomycin,TREATS,C0004626,"Pneumonia, Bacterial"
"[1416, 9, 3356]",[-5.292520046234131],C0010583,cyclophosphamide,TREATS,C0025202,melanoma
"[13362, 9, 929]",[-5.398298263549805],C0796392,bevacizumab,TREATS,C0007134,Renal Cell Carcinoma
"[3644, 9, 532]",[-5.446595668792725],C0027235,ipratropium,TREATS,C0004096,Asthma
"[18044, 9, 929]",[-5.459798812866211],C4529301,bevacizumab-awwb,TREATS,C0007134,Renal Cell Carcinoma
"[3445, 9, 3726]",[-5.482640266418457],C0025677,methotrexate,TREATS,C0027819,Neuroblastoma
"[1416, 9, 3110]",[-5.537643909454346],C0010583,cyclophosphamide,TREATS,C0023449,Acute lymphocytic leukemia
"[6525, 9, 588]",[-5.58986234664917],C0066005,meropenem,TREATS,C0004626,"Pneumonia, Bacterial"
"[3211, 9, 1907]",[-5.59672212600708],C0024002,lorazepam,TREATS,C0014544,Epilepsy
"[1416, 9, 322]",[-5.6005682945251465],C0010583,cyclophosphamide,TREATS,C0002874,Aplastic Anemia
"[3659, 9, 3915]",[-5.614699363708496],C0027360,naltrexone,TREATS,C0029408,Degenerative polyarthritis
"[3445, 9, 4720]",[-5.636923789978027],C0025677,methotrexate,TREATS,C0035335,Retinoblastoma
"[1221, 9, 3983]",[-5.640415668487549],C0009014,clonidine,TREATS,C0030193,Pain
"[1416, 9, 9793]",[-5.709383010864258],C0010583,cyclophosphamide,TREATS,C0278678,Metastatic Renal Cell Cancer
"[14350, 9, 4810]",[-5.720376014709473],C1122087,adalimumab,TREATS,C0036202,Sarcoidosis
"[3424, 9, 9300]",[-5.734352111816406],C0025598,metformin,TREATS,C0242339,Dyslipidemias
"[4176, 9, 4822]",[-5.797055244445801],C0031507,phenytoin,TREATS,C0036341,Schizophrenia
"[6864, 9, 4720]",[-5.803094387054443],C0076080,temozolomide,TREATS,C0035335,Retinoblastoma
"[9451, 9, 930]",[-5.828913688659668],C0246415,docetaxel,TREATS,C0007137,Squamous cell carcinoma
"[5670, 9, 2468]",[-5.842068195343018],C0042523,verapamil,TREATS,C0018801,Heart failure
