Triple,Model Score,SUBJECT_CUI,SUBJECT_NAME,PREDICATE,OBJECT_CUI,OBJECT_NAME
"[4195, 9, 14306]",[123.24871063232422],C0035608,rifampicin,TREATS,C2973725,Pulmonary arterial hypertension
"[5734, 9, 4331]",[120.55215454101562],C0066700,mometasone furoate,TREATS,C0037199,Sinusitis
"[1375, 9, 8000]",[118.86768341064453],C0011777,dexamethasone,TREATS,C0242383,Age related macular degeneration
"[7016, 9, 2972]",[115.53994750976562],C0165032,imiquimod,TREATS,C0025202,melanoma
"[1690, 9, 3517]",[112.32007598876953],C0014563,epinephrine,TREATS,C0030193,Pain
"[13405, 9, 1225]",[111.32771301269531],C1619966,abatacept,TREATS,C0010346,Crohn Disease
"[13951, 9, 1391]",[111.18733978271484],C2348248,dexlansoprazole,TREATS,C0011854,"Diabetes Mellitus, Insulin-Dependent"
"[2661, 9, 1683]",[110.8265380859375],C0022614,ketamine,TREATS,C0014544,Epilepsy
"[4605, 9, 2181]",[110.59231567382812],C0039601,testosterone,TREATS,C0018801,Heart failure
"[5846, 9, 3390]",[110.54664611816406],C0071097,pioglitazone,TREATS,C0028754,Obesity
"[3855, 9, 3517]",[107.56625366210938],C0032952,prednisone,TREATS,C0030193,Pain
"[1690, 9, 469]",[107.52855682373047],C0014563,epinephrine,TREATS,C0004096,Asthma
"[9845, 9, 3561]",[107.23086547851562],C0527316,donepezil,TREATS,C0030567,Parkinson Disease
"[1737, 9, 6987]",[107.08583068847656],C0014912,estradiol,TREATS,C0162836,Hidradenitis Suppurativa
"[717, 9, 9677]",[106.58061981201172],C0006400,bupivacaine,TREATS,C0474368,Labor Pain
"[1254, 9, 820]",[105.98554992675781],C0010583,cyclophosphamide,TREATS,C0007131,Non-Small Cell Lung Carcinoma
"[9872, 9, 8290]",[105.59580993652344],C0536495,moxifloxacin,TREATS,C0271429,Acute otitis media
"[2661, 9, 608]",[105.54364013671875],C0022614,ketamine,TREATS,C0005586,Bipolar Disorder
"[3673, 9, 4251]",[104.92089080810547],C0031412,phenobarbital,TREATS,C0036341,Schizophrenia
"[4624, 9, 4945]",[104.82222747802734],C0039736,thalidomide,TREATS,C0042164,Uveitis
"[1054, 9, 3517]",[104.70748901367188],C0008838,cisplatin,TREATS,C0030193,Pain
"[3224, 9, 469]",[104.44125366210938],C0027235,ipratropium,TREATS,C0004096,Asthma
"[1770, 9, 3169]",[104.38758850097656],C0015133,etoposide,TREATS,C0026764,Multiple Myeloma
"[7773, 9, 3255]",[103.73149108886719],C0220578,palonosetron,TREATS,C0027497,Nausea
"[3064, 9, 1859]",[103.67105102539062],C0025815,methylprednisolone,TREATS,C0015967,Fever
"[3329, 9, 4483]",[103.16161346435547],C0028027,nicotinamide,TREATS,C0038454,Cerebrovascular accident
"[2975, 9, 4251]",[103.14447021484375],C0025219,melatonin,TREATS,C0036341,Schizophrenia
"[2953, 9, 8831]",[102.86172485351562],C0025033,mechlorethamine,TREATS,C0334634,"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse"
"[1920, 9, 821]",[102.77645874023438],C0016360,fluorouracil,TREATS,C0007134,Renal Cell Carcinoma
"[3237, 9, 1166]",[102.11298370361328],C0027358,naloxone,TREATS,C0009806,Constipation
"[1254, 9, 1225]",[102.07415008544922],C0010583,cyclophosphamide,TREATS,C0010346,Crohn Disease
"[13064, 9, 3169]",[101.88964080810547],C1513105,Melphalanum,TREATS,C0026764,Multiple Myeloma
"[8535, 9, 2874]",[101.65010070800781],C0282386,levofloxacin,TREATS,C0024305,"Lymphoma, Non-Hodgkin"
"[3855, 9, 2902]",[101.621337890625],C0032952,prednisone,TREATS,C0024530,Malaria
"[8676, 9, 8234]",[101.48958587646484],C0302583,iron,TREATS,C0264716,Chronic heart failure
"[241, 9, 4251]",[101.25465393066406],C0002600,amitriptyline,TREATS,C0036341,Schizophrenia
"[5272, 9, 1120]",[101.1185302734375],C0054201,budesonide,TREATS,C0009324,Ulcerative Colitis
"[3238, 9, 3452]",[101.0282974243164],C0027360,naltrexone,TREATS,C0029408,Degenerative polyarthritis
"[500, 9, 3517]",[100.94469451904297],C0004475,azacitidine,TREATS,C0030193,Pain
"[3412, 9, 3255]",[100.89569091796875],C0028978,omeprazole,TREATS,C0027497,Nausea
"[2057, 9, 3390]",[100.33732604980469],C0017687,glucagon,TREATS,C0028754,Obesity
"[9237, 9, 3517]",[99.95220947265625],C0393080,voriconazole,TREATS,C0030193,Pain
"[1375, 9, 8831]",[99.92073059082031],C0011777,dexamethasone,TREATS,C0334634,"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse"
"[6251, 9, 3169]",[99.11921691894531],C0085149,tacrolimus,TREATS,C0026764,Multiple Myeloma
"[8151, 9, 469]",[98.99176788330078],C0252643,bosentan,TREATS,C0004096,Asthma
"[2975, 9, 9714]",[98.87255096435547],C0025219,melatonin,TREATS,C0497327,Dementia
"[11932, 9, 4251]",[98.7158203125],C0969677,alpha tocopherol,TREATS,C0036341,Schizophrenia
"[2664, 9, 722]",[98.23779296875],C0022635,ketoprofen,TREATS,C0006444,Bursitis
"[1753, 9, 1646]",[98.1334457397461],C0015011,ethinylestradiol,TREATS,C0014175,Endometriosis
"[5639, 9, 4251]",[97.9759521484375],C0064636,lamotrigine,TREATS,C0036341,Schizophrenia
"[3855, 9, 2885]",[97.89974975585938],C0032952,prednisone,TREATS,C0024419,Waldenstrom Macroglobulinemia
"[2842, 9, 4251]",[97.8514404296875],C0024002,lorazepam,TREATS,C0036341,Schizophrenia
"[13859, 9, 3452]",[97.65896606445312],C2001271,tapentadol,TREATS,C0029408,Degenerative polyarthritis
"[39, 9, 2181]",[97.49951171875],C0000981,acetazolamide,TREATS,C0018801,Heart failure
"[199, 9, 2181]",[97.46839904785156],C0002335,alprostadil,TREATS,C0018801,Heart failure
"[2348, 9, 821]",[97.36238098144531],C0020336,hydroxychloroquine,TREATS,C0007134,Renal Cell Carcinoma
"[606, 9, 480]",[97.34131622314453],C0005575,biotin,TREATS,C0004238,Atrial Fibrillation
"[1050, 9, 1225]",[97.12135314941406],C0008809,ciprofloxacin,TREATS,C0010346,Crohn Disease
"[5730, 9, 4251]",[97.07341003417969],C0066673,moclobemide,TREATS,C0036341,Schizophrenia
"[12210, 9, 770]",[97.03231811523438],C1145701,amphotericin B liposomal,TREATS,C0006840,Candidiasis
"[1078, 9, 3517]",[96.99676513671875],C0009014,clonidine,TREATS,C0030193,Pain
"[4059, 9, 1208]",[96.77114868164062],C0034665,ranitidine,TREATS,C0010200,Coughing
"[12200, 9, 3517]",[96.41107177734375],C1144149,lenalidomide,TREATS,C0030193,Pain
"[5907, 9, 2755]",[95.97036743164062],C0072980,sirolimus,TREATS,C0023473,"Myeloid Leukemia, Chronic"
"[2842, 9, 1683]",[95.92265319824219],C0024002,lorazepam,TREATS,C0014544,Epilepsy
"[13336, 9, 1391]",[95.71392059326172],C1565750,sitagliptin,TREATS,C0011854,"Diabetes Mellitus, Insulin-Dependent"
"[3355, 9, 3517]",[95.53483581542969],C0028215,nitrous oxide,TREATS,C0030193,Pain
"[11783, 9, 820]",[95.10970306396484],C0935989,imatinib,TREATS,C0007131,Non-Small Cell Lung Carcinoma
"[32, 9, 2201]",[95.04737091064453],C0000946,acebutolol,TREATS,C0018916,Hemangioma
"[6471, 9, 3169]",[94.70936584472656],C0092777,clofarabine,TREATS,C0026764,Multiple Myeloma
"[11803, 9, 3206]",[94.47534942626953],C0937846,esomeprazole,TREATS,C0027051,Myocardial Infarction
"[1446, 9, 6737]",[94.44223022460938],C0012306,hydromorphone,TREATS,C0150055,Chronic pain
"[8592, 9, 469]",[94.40532684326172],C0286651,atorvastatin,TREATS,C0004096,Asthma
"[1920, 9, 3517]",[94.35249328613281],C0016360,fluorouracil,TREATS,C0030193,Pain
"[3051, 9, 2755]",[94.29058837890625],C0025677,methotrexate,TREATS,C0023473,"Myeloid Leukemia, Chronic"
"[12071, 9, 3206]",[94.20557403564453],C1098510,fondaparinux,TREATS,C0027051,Myocardial Infarction
"[252, 9, 3646]",[93.97638702392578],C0002645,amoxicillin,TREATS,C0031154,Peritonitis
"[1463, 9, 1361]",[93.96806335449219],C0012522,diphenhydramine,TREATS,C0011615,"Dermatitis, Atopic"
"[4227, 9, 3390]",[93.93565368652344],C0036079,salicylic acid,TREATS,C0028754,Obesity
"[6193, 9, 4251]",[93.7884750366211],C0080356,valproate,TREATS,C0036341,Schizophrenia
"[3855, 9, 476]",[93.71658325195312],C0032952,prednisone,TREATS,C0004153,Atherosclerosis
"[10402, 9, 821]",[93.6798324584961],C0666743,infliximab,TREATS,C0007134,Renal Cell Carcinoma
"[12114, 9, 6353]",[93.62922668457031],C1122087,adalimumab,TREATS,C0085652,Pyoderma Gangrenosum
"[12134, 9, 822]",[93.49300384521484],C1135135,erlotinib,TREATS,C0007137,Squamous cell carcinoma
"[1506, 9, 469]",[93.47306823730469],C0012963,dobutamine,TREATS,C0004096,Asthma
"[5044, 9, 11841]",[92.64978790283203],C0043031,warfarin,TREATS,C0948008,Ischemic stroke
"[3890, 9, 3169]",[92.64236450195312],C0033228,fenofibrate,TREATS,C0026764,Multiple Myeloma
"[9892, 9, 2755]",[92.51278686523438],C0541315,everolimus,TREATS,C0023473,"Myeloid Leukemia, Chronic"
"[13434, 9, 449]",[92.21434783935547],C1690432,denosumab,TREATS,C0003873,Rheumatoid Arthritis
"[5350, 9, 3169]",[92.18501281738281],C0055856,clarithromycin,TREATS,C0026764,Multiple Myeloma
"[3854, 9, 1266]",[92.050537109375],C0032950,prednisolone,TREATS,C0010674,Cystic Fibrosis
"[8133, 9, 2371]",[91.87059020996094],C0248719,telmisartan,TREATS,C0020473,Hyperlipidemia
"[1848, 9, 7286]",[91.72898864746094],C0015846,fentanyl,TREATS,C0184567,Acute onset pain
"[1254, 9, 3202]",[91.68626403808594],C0010583,cyclophosphamide,TREATS,C0026987,Myelofibrosis
"[467, 9, 3171]",[91.67506408691406],C0004057,acetylsalicylic acid,TREATS,C0026769,Multiple Sclerosis
"[10413, 9, 819]",[91.65815734863281],C0671970,capecitabine,TREATS,C0007129,Merkel cell carcinoma
"[5907, 9, 823]",[91.62980651855469],C0072980,sirolimus,TREATS,C0007138,"Carcinoma, Transitional Cell"
"[3238, 9, 2495]",[91.59403991699219],C0027360,naltrexone,TREATS,C0021390,Inflammatory Bowel Diseases
"[2975, 9, 2181]",[91.48237609863281],C0025219,melatonin,TREATS,C0018801,Heart failure
"[5954, 9, 3206]",[91.46550750732422],C0074554,simvastatin,TREATS,C0027051,Myocardial Infarction
"[9872, 9, 469]",[91.42575073242188],C0536495,moxifloxacin,TREATS,C0004096,Asthma
"[989, 9, 3171]",[91.38461303710938],C0008318,colecalciferol,TREATS,C0026769,Multiple Sclerosis
"[2421, 9, 1139]",[91.3667221069336],C0020740,ibuprofen,TREATS,C0009443,Common Cold
"[3344, 9, 4251]",[91.35848999023438],C0028126,nitrazepam,TREATS,C0036341,Schizophrenia
"[3854, 9, 3169]",[91.3384780883789],C0032950,prednisolone,TREATS,C0026764,Multiple Myeloma
"[12196, 9, 1392]",[91.31251525878906],C1142933,rimonabant,TREATS,C0011860,"Diabetes Mellitus, Non-Insulin-Dependent"
"[11304, 9, 3169]",[90.71405792236328],C0796392,bevacizumab,TREATS,C0026764,Multiple Myeloma
"[725, 9, 2859]",[90.61613464355469],C0006463,busulfan,TREATS,C0024141,"Lupus Erythematosus, Systemic"
"[11652, 9, 3169]",[90.52165222167969],C0887557,sodium ascorbate,TREATS,C0026764,Multiple Myeloma
"[9234, 9, 4937]",[90.5093765258789],C0393022,rituximab,TREATS,C0042109,Urticaria
"[5355, 9, 4251]",[90.50519561767578],C0055891,clobazam,TREATS,C0036341,Schizophrenia
"[12791, 9, 820]",[90.50013732910156],C1367202,ipilimumab,TREATS,C0007131,Non-Small Cell Lung Carcinoma
"[10385, 9, 6737]",[90.49188232421875],C0657912,pregabalin,TREATS,C0150055,Chronic pain
"[2782, 9, 6737]",[90.38262939453125],C0023660,lidocaine,TREATS,C0150055,Chronic pain
"[5993, 9, 3298]",[90.32614135742188],C0076080,temozolomide,TREATS,C0027819,Neuroblastoma
"[8635, 9, 12386]",[90.31416320800781],C0299792,aripiprazole,TREATS,C1263846,Attention deficit hyperactivity disorder
"[11290, 9, 469]",[90.31122589111328],C0795635,insulin human,TREATS,C0004096,Asthma
"[3064, 9, 3169]",[90.2323989868164],C0025815,methylprednisolone,TREATS,C0026764,Multiple Myeloma
"[9854, 9, 3561]",[90.2015380859375],C0529793,sildenafil,TREATS,C0030567,Parkinson Disease
"[2436, 9, 4251]",[90.12802124023438],C0020934,imipramine,TREATS,C0036341,Schizophrenia
"[10847, 9, 820]",[90.09231567382812],C0728747,trastuzumab,TREATS,C0007131,Non-Small Cell Lung Carcinoma
"[8121, 9, 3517]",[90.0909423828125],C0246415,docetaxel,TREATS,C0030193,Pain
"[5907, 9, 3298]",[90.04034423828125],C0072980,sirolimus,TREATS,C0027819,Neuroblastoma
"[12301, 9, 8388]",[90.01673889160156],C1176309,bortezomib,TREATS,C0278678,Metastatic Renal Cell Cancer
"[9146, 9, 4251]",[89.85493469238281],C0377265,levetiracetam,TREATS,C0036341,Schizophrenia
"[3033, 9, 820]",[89.83061981201172],C0025598,metformin,TREATS,C0007131,Non-Small Cell Lung Carcinoma
"[1463, 9, 4251]",[89.81741333007812],C0012522,diphenhydramine,TREATS,C0036341,Schizophrenia
"[1463, 9, 3248]",[89.772705078125],C0012522,diphenhydramine,TREATS,C0027424,Nasal congestion (finding)
"[4627, 9, 820]",[89.73915100097656],C0039771,theophylline,TREATS,C0007131,Non-Small Cell Lung Carcinoma
"[3855, 9, 116]",[89.71377563476562],C0032952,prednisone,TREATS,C0001627,Congenital adrenal hyperplasia
"[5926, 9, 208]",[89.39663696289062],C0073393,risperidone,TREATS,C0002395,Alzheimer's Disease
"[13859, 9, 6737]",[89.35613250732422],C2001271,tapentadol,TREATS,C0150055,Chronic pain
"[197, 9, 4251]",[89.12003326416016],C0002333,alprazolam,TREATS,C0036341,Schizophrenia
"[8622, 9, 1390]",[89.05958557128906],C0293359,insulin lispro,TREATS,C0011849,Diabetes Mellitus
"[3690, 9, 4251]",[89.0519027709961],C0031507,phenytoin,TREATS,C0036341,Schizophrenia
"[3329, 9, 3390]",[88.91291046142578],C0028027,nicotinamide,TREATS,C0028754,Obesity
"[9854, 9, 11841]",[88.89053344726562],C0529793,sildenafil,TREATS,C0948008,Ischemic stroke
"[1927, 9, 4251]",[88.862060546875],C0016375,flurazepam,TREATS,C0036341,Schizophrenia
"[1375, 9, 821]",[88.83027648925781],C0011777,dexamethasone,TREATS,C0007134,Renal Cell Carcinoma
"[5813, 9, 480]",[88.77581787109375],C0070166,clopidogrel,TREATS,C0004238,Atrial Fibrillation
"[12114, 9, 469]",[88.76518249511719],C1122087,adalimumab,TREATS,C0004096,Asthma
