Triple,Model Score,SUBJECT_CUI,SUBJECT_NAME,PREDICATE,OBJECT_CUI,OBJECT_NAME
"[4833, 9, 3655]",[-0.08419310301542282],C0055014,ceftibuten,TREATS,C0034186,Pyelonephritis
"[4389, 9, 3655]",[-0.09835734218358994],C0041041,trimethoprim,TREATS,C0034186,Pyelonephritis
"[8776, 9, 7411]",[-0.10155469924211502],C0536495,moxifloxacin,TREATS,C0271429,Acute otitis media
"[10775, 9, 1490]",[-0.11362645030021667],C1120106,ertapenem,TREATS,C0014179,Endometritis
"[3054, 9, 3655]",[-0.12585580348968506],C0028156,nitrofurantoin,TREATS,C0034186,Pyelonephritis
"[10604, 9, 2150]",[-0.12867580354213715],C0965129,rosuvastatin,TREATS,C0020473,Hyperlipidemia
"[4206, 9, 3008]",[-0.13082394003868103],C0039871,thiotepa,TREATS,C0027819,Neuroblastoma
"[5176, 9, 3155]",[-0.1345697045326233],C0066005,meropenem,TREATS,C0029443,Osteomyelitis
"[228, 9, 3655]",[-0.14023441076278687],C0002645,amoxicillin,TREATS,C0034186,Pyelonephritis
"[625, 9, 3794]",[-0.14239299297332764],C0006246,brompheniramine,TREATS,C0035455,Rhinitis
"[228, 9, 7227]",[-0.14274120330810547],C0002645,amoxicillin,TREATS,C0243001,Abdominal Abscess
"[4282, 9, 466]",[-0.15816563367843628],C0040341,tobramycin,TREATS,C0004626,"Pneumonia, Bacterial"
"[6040, 9, 740]",[-0.15968580543994904],C0144576,paclitaxel,TREATS,C0007137,Squamous cell carcinoma
"[5176, 9, 466]",[-0.1648021638393402],C0066005,meropenem,TREATS,C0004626,"Pneumonia, Bacterial"
"[2803, 9, 3155]",[-0.1717204600572586],C0025872,metronidazole,TREATS,C0029443,Osteomyelitis
"[5349, 9, 430]",[-0.1722046583890915],C0072973,ramipril,TREATS,C0004238,Atrial Fibrillation
"[5366, 9, 3224]",[-0.17327477037906647],C0073393,risperidone,TREATS,C0030319,Panic Disorder
"[10784, 9, 3847]",[-0.17391425371170044],C1122087,adalimumab,TREATS,C0036202,Sarcoidosis
"[3514, 9, 4160]",[-0.17517292499542236],C0032952,prednisone,TREATS,C0039483,Giant Cell Arteritis
"[4544, 9, 8877]",[-0.17737281322479248],C0042679,vincristine,TREATS,C0553580,Ewings sarcoma
"[8783, 9, 691]",[-0.17776422202587128],C0537894,caspofungin,TREATS,C0006840,Candidiasis
"[3413, 9, 3155]",[-0.17897562682628632],C0031955,piperacillin,TREATS,C0029443,Osteomyelitis
"[4828, 9, 3155]",[-0.1790379136800766],C0055003,cefepime,TREATS,C0029443,Osteomyelitis
"[5421, 9, 3155]",[-0.18000130355358124],C0075870,tazobactam,TREATS,C0029443,Osteomyelitis
