Triple,Model Score,SUBJECT_CUI,SUBJECT_NAME,PREDICATE,OBJECT_CUI,OBJECT_NAME
"[4176, 9, 11445]",[-0.09915360808372498],C0031507,phenytoin,TREATS,C0497327,Dementia
"[12301, 9, 17273]",[-0.10058566182851791],C0666743,infliximab,TREATS,C3495559,Juvenile arthritis
"[2535, 9, 3579]",[-0.11158378422260284],C0019134,heparin,TREATS,C0026764,Multiple Myeloma
"[6326, 9, 11445]",[-0.12225181609392166],C0060926,gabapentin,TREATS,C0497327,Dementia
"[11643, 9, 532]",[-0.14087417721748352],C0536495,moxifloxacin,TREATS,C0004096,Asthma
"[5363, 9, 588]",[-0.14186187088489532],C0040341,tobramycin,TREATS,C0004626,"Pneumonia, Bacterial"
"[17397, 9, 3579]",[-0.1525002121925354],C3657270,nivolumab,TREATS,C0026764,Multiple Myeloma
"[3446, 9, 11445]",[-0.16354677081108093],C0025678,methotrimeprazine,TREATS,C0497327,Dementia
"[3424, 9, 9300]",[-0.1679079234600067],C0025598,metformin,TREATS,C0242339,Dyslipidemias
"[13362, 9, 929]",[-0.175000861287117],C0796392,bevacizumab,TREATS,C0007134,Renal Cell Carcinoma
"[5250, 9, 1866]",[-0.17762920260429382],C0039736,thalidomide,TREATS,C0014175,Endometriosis
"[15512, 9, 3356]",[-0.18849003314971924],C1506770,lapatinib,TREATS,C0025202,melanoma
"[5491, 9, 4531]",[-0.19389760494232178],C0041041,trimethoprim,TREATS,C0034186,Pyelonephritis
"[15235, 9, 3579]",[-0.1951044797897339],C1367202,ipilimumab,TREATS,C0026764,Multiple Myeloma
"[9510, 9, 3581]",[-0.20244550704956055],C0257685,zoledronic acid,TREATS,C0026769,Multiple Sclerosis
"[6991, 9, 3726]",[-0.20396389067173004],C0079083,carboplatin,TREATS,C0027819,Neuroblastoma
"[1197, 9, 13889]",[-0.20448391139507294],C0008845,citalopram,TREATS,C0917801,Sleeplessness
"[7504, 9, 2709]",[-0.21055388450622559],C0113293,dexmedetomidine,TREATS,C0020542,Pulmonary Hypertension
"[3761, 9, 9300]",[-0.21337643265724182],C0028027,nicotinamide,TREATS,C0242339,Dyslipidemias
"[3761, 9, 3835]",[-0.21807265281677246],C0028027,nicotinamide,TREATS,C0028754,Obesity
"[1965, 9, 1866]",[-0.22067797183990479],C0014912,estradiol,TREATS,C0014175,Endometriosis
"[4364, 9, 3983]",[-0.2207384705543518],C0032952,prednisone,TREATS,C0030193,Pain
"[3467, 9, 3835]",[-0.22261402010917664],C0025859,metoprolol,TREATS,C0028754,Obesity
"[4364, 9, 5214]",[-0.2242569625377655],C0032952,prednisone,TREATS,C0039483,Giant Cell Arteritis
"[6048, 9, 1907]",[-0.22890126705169678],C0054836,carvedilol,TREATS,C0014544,Epilepsy
"[14453, 9, 526]",[-0.22960218787193298],C1142738,anidulafungin,TREATS,C0004030,Aspergillosis
"[2329, 9, 3835]",[-0.2309010624885559],C0017687,glucagon,TREATS,C0028754,Obesity
"[3761, 9, 3726]",[-0.23273077607154846],C0028027,nicotinamide,TREATS,C0027819,Neuroblastoma
"[1197, 9, 454]",[-0.2333739548921585],C0008845,citalopram,TREATS,C0003467,Anxiety
"[4403, 9, 3835]",[-0.24655582010746002],C0033228,fenofibrate,TREATS,C0028754,Obesity
"[5250, 9, 5617]",[-0.24859902262687683],C0039736,thalidomide,TREATS,C0042164,Uveitis
"[14599, 9, 13576]",[-0.25339066982269287],C1176020,sunitinib,TREATS,C0860594,"Malignant melanoma, metastatic"
"[6767, 9, 931]",[-0.25559675693511963],C0072980,sirolimus,TREATS,C0007138,"Carcinoma, Transitional Cell"
"[530, 9, 3581]",[-0.2561247944831848],C0004057,acetylsalicylic acid,TREATS,C0026769,Multiple Sclerosis
"[3458, 9, 1430]",[-0.25829970836639404],C0025815,methylprednisolone,TREATS,C0010674,Cystic Fibrosis
"[6450, 9, 11445]",[-0.26076292991638184],C0064636,lamotrigine,TREATS,C0497327,Dementia
"[15235, 9, 927]",[-0.2625916302204132],C1367202,ipilimumab,TREATS,C0007131,Non-Small Cell Lung Carcinoma
"[11666, 9, 927]",[-0.2626633048057556],C0541315,everolimus,TREATS,C0007131,Non-Small Cell Lung Carcinoma
"[11647, 9, 3835]",[-0.26514607667922974],C0537270,insulin detemir,TREATS,C0028754,Obesity
"[3359, 9, 7902]",[-0.26806503534317017],C0025219,melatonin,TREATS,C0155626,Acute myocardial infarction
"[1660, 9, 1363]",[-0.26851528882980347],C0012522,diphenhydramine,TREATS,C0010200,Coughing
"[231, 9, 2468]",[-0.26891934871673584],C0002335,alprostadil,TREATS,C0018801,Heart failure
"[3100, 9, 927]",[-0.27250897884368896],C0023413,leucovorin,TREATS,C0007131,Non-Small Cell Lung Carcinoma
"[6295, 9, 927]",[-0.2729123532772064],C0060389,finasteride,TREATS,C0007131,Non-Small Cell Lung Carcinoma
"[6652, 9, 539]",[-0.27305877208709717],C0070166,clopidogrel,TREATS,C0004153,Atherosclerosis
"[886, 9, 11445]",[-0.273199200630188],C0006949,carbamazepine,TREATS,C0497327,Dementia
"[1660, 9, 3670]",[-0.27365243434906006],C0012522,diphenhydramine,TREATS,C0027424,Nasal congestion (finding)
"[1914, 9, 3835]",[-0.27456867694854736],C0014563,epinephrine,TREATS,C0028754,Obesity
"[10122, 9, 9600]",[-0.2753075957298279],C0302583,iron,TREATS,C0264716,Chronic heart failure
"[288, 9, 474]",[-0.2759403586387634],C0002645,amoxicillin,TREATS,C0003615,Appendicitis
"[13991, 9, 4033]",[-0.27635353803634644],C0937846,esomeprazole,TREATS,C0030567,Parkinson Disease
"[5250, 9, 2617]",[-0.27718955278396606],C0039736,thalidomide,TREATS,C0019829,Hodgkin Disease
"[13362, 9, 3249]",[-0.27767348289489746],C0796392,bevacizumab,TREATS,C0024305,"Lymphoma, Non-Hodgkin"
"[7548, 9, 3726]",[-0.28505486249923706],C0123931,irinotecan,TREATS,C0027819,Neuroblastoma
"[5640, 9, 588]",[-0.28722697496414185],C0042313,vancomycin,TREATS,C0004626,"Pneumonia, Bacterial"
"[5229, 9, 2468]",[-0.29000353813171387],C0039601,testosterone,TREATS,C0018801,Heart failure
"[12280, 9, 11445]",[-0.2906413674354553],C0657912,pregabalin,TREATS,C0497327,Dementia
"[6767, 9, 4069]",[-0.29093998670578003],C0072980,sirolimus,TREATS,C0030807,Pemphigus
"[6767, 9, 9793]",[-0.2932998538017273],C0072980,sirolimus,TREATS,C0278678,Metastatic Renal Cell Cancer
"[6909, 9, 4033]",[-0.29617685079574585],C0076829,topiramate,TREATS,C0030567,Parkinson Disease
"[13991, 9, 1430]",[-0.2964780032634735],C0937846,esomeprazole,TREATS,C0010674,Cystic Fibrosis
"[2434, 9, 11445]",[-0.29736328125],C0018546,haloperidol,TREATS,C0497327,Dementia
"[2672, 9, 5090]",[-0.29922616481781006],C0020402,hydroxycarbamide,TREATS,C0038454,Cerebrovascular accident
"[11666, 9, 3579]",[-0.2994142174720764],C0541315,everolimus,TREATS,C0026764,Multiple Myeloma
"[3659, 9, 7813]",[-0.3023982644081116],C0027360,naltrexone,TREATS,C0152020,Gastroparesis
"[14453, 9, 869]",[-0.3072656989097595],C1142738,anidulafungin,TREATS,C0006840,Candidiasis
"[7504, 9, 4033]",[-0.30829206109046936],C0113293,dexmedetomidine,TREATS,C0030567,Parkinson Disease
"[6966, 9, 11445]",[-0.30978676676750183],C0078569,venlafaxine,TREATS,C0497327,Dementia
"[1238, 9, 11445]",[-0.30991286039352417],C0009079,clozapine,TREATS,C0497327,Dementia
"[1982, 9, 3726]",[-0.31012123823165894],C0015020,amifostine,TREATS,C0027819,Neuroblastoma
"[6767, 9, 506]",[-0.31404954195022583],C0072980,sirolimus,TREATS,C0003873,Rheumatoid Arthritis
"[3644, 9, 532]",[-0.31940045952796936],C0027235,ipratropium,TREATS,C0004096,Asthma
"[6909, 9, 11445]",[-0.31977957487106323],C0076829,topiramate,TREATS,C0497327,Dementia
"[12280, 9, 7739]",[-0.3203228712081909],C0657912,pregabalin,TREATS,C0150055,Chronic pain
"[9444, 9, 4033]",[-0.3218317925930023],C0245561,duloxetine,TREATS,C0030567,Parkinson Disease
"[3424, 9, 9662]",[-0.32242870330810547],C0025598,metformin,TREATS,C0270549,Generalized Anxiety Disorder
"[14458, 9, 927]",[-0.3243136405944824],C1144149,lenalidomide,TREATS,C0007131,Non-Small Cell Lung Carcinoma
"[6864, 9, 13576]",[-0.3252025246620178],C0076080,temozolomide,TREATS,C0860594,"Malignant melanoma, metastatic"
"[5454, 9, 4736]",[-0.3266446590423584],C0040864,triamcinolone,TREATS,C0035455,Rhinitis
"[5636, 9, 3356]",[-0.32727834582328796],C0042291,valproic acid,TREATS,C0025202,melanoma
"[567, 9, 3579]",[-0.327400803565979],C0004475,azacitidine,TREATS,C0026764,Multiple Myeloma
"[13838, 9, 506]",[-0.3278675973415375],C0893761,lacosamide,TREATS,C0003873,Rheumatoid Arthritis
"[185, 9, 3581]",[-0.3279727101325989],C0001962,ethanol,TREATS,C0026769,Multiple Sclerosis
"[3963, 9, 3915]",[-0.3280012607574463],C0030049,oxycodone,TREATS,C0029408,Degenerative polyarthritis
"[3361, 9, 3249]",[-0.3282594084739685],C0025241,melphalan,TREATS,C0024305,"Lymphoma, Non-Hodgkin"
"[4364, 9, 3281]",[-0.3289088010787964],C0032952,prednisone,TREATS,C0024530,Malaria
