Triple,Model Score,SUBJECT_CUI,SUBJECT_NAME,PREDICATE,OBJECT_CUI,OBJECT_NAME
"[9022, 9, 3680]",[9.026479721069336],C0220578,palonosetron,TREATS,C0027497,Nausea
"[9022, 9, 3681]",[8.61874771118164],C0220578,palonosetron,TREATS,C0027498,Nausea and vomiting
"[530, 9, 3581]",[8.400261878967285],C0004057,acetylsalicylic acid,TREATS,C0026769,Multiple Sclerosis
"[6631, 9, 927]",[8.334365844726562],C0069717,oxaliplatin,TREATS,C0007131,Non-Small Cell Lung Carcinoma
"[3469, 9, 3926]",[8.317831039428711],C0025872,metronidazole,TREATS,C0029443,Osteomyelitis
"[5730, 9, 14038]",[8.273900985717773],C0043031,warfarin,TREATS,C0948008,Ischemic stroke
"[5709, 9, 1266]",[8.113800048828125],C0042874,Vitamin E,TREATS,C0009324,Ulcerative Colitis
"[6008, 9, 1266]",[8.072833061218262],C0054201,budesonide,TREATS,C0009324,Ulcerative Colitis
"[13991, 9, 5070]",[8.0231294631958],C0937846,esomeprazole,TREATS,C0038358,Gastric ulcer
"[5250, 9, 2617]",[7.923465728759766],C0039736,thalidomide,TREATS,C0019829,Hodgkin Disease
"[4364, 9, 5214]",[7.89551305770874],C0032952,prednisone,TREATS,C0039483,Giant Cell Arteritis
"[9022, 9, 5723]",[7.78855562210083],C0220578,palonosetron,TREATS,C0042963,Vomiting
"[14468, 9, 869]",[7.7043585777282715],C1145701,amphotericin B liposomal,TREATS,C0006840,Candidiasis
"[2170, 9, 11445]",[7.567625999450684],C0016365,fluoxetine,TREATS,C0497327,Dementia
"[14603, 9, 506]",[7.5075860023498535],C1176309,bortezomib,TREATS,C0003873,Rheumatoid Arthritis
"[1221, 9, 3983]",[7.488810062408447],C0009014,clonidine,TREATS,C0030193,Pain
"[3644, 9, 532]",[7.449831008911133],C0027235,ipratropium,TREATS,C0004096,Asthma
"[10030, 9, 546]",[7.431057929992676],C0286651,atorvastatin,TREATS,C0004238,Atrial Fibrillation
"[3756, 9, 2690]",[7.427472114562988],C0027996,niacin,TREATS,C0020473,Hyperlipidemia
"[3761, 9, 2690]",[7.3963470458984375],C0028027,nicotinamide,TREATS,C0020473,Hyperlipidemia
"[4481, 9, 1363]",[7.370173931121826],C0033798,pseudoephedrine,TREATS,C0010200,Coughing
"[13362, 9, 929]",[7.324985980987549],C0796392,bevacizumab,TREATS,C0007134,Renal Cell Carcinoma
"[8086, 9, 1578]",[7.279689788818359],C0167117,exenatide,TREATS,C0011849,Diabetes Mellitus
"[6652, 9, 546]",[7.200148582458496],C0070166,clopidogrel,TREATS,C0004238,Atrial Fibrillation
"[4131, 9, 11445]",[7.2001237869262695],C0031184,perphenazine,TREATS,C0497327,Dementia
"[5709, 9, 1380]",[7.199873447418213],C0042874,Vitamin E,TREATS,C0010346,Crohn Disease
"[5640, 9, 588]",[7.1922221183776855],C0042313,vancomycin,TREATS,C0004626,"Pneumonia, Bacterial"
"[14135, 9, 2690]",[7.168647289276123],C0965129,rosuvastatin,TREATS,C0020473,Hyperlipidemia
"[12286, 9, 3926]",[7.146947383880615],C0663241,linezolid,TREATS,C0029443,Osteomyelitis
"[3149, 9, 7739]",[7.141965866088867],C0023660,lidocaine,TREATS,C0150055,Chronic pain
"[3100, 9, 927]",[7.122605323791504],C0023413,leucovorin,TREATS,C0007131,Non-Small Cell Lung Carcinoma
"[1914, 9, 532]",[7.0213799476623535],C0014563,epinephrine,TREATS,C0004096,Asthma
"[3791, 9, 3983]",[6.975588321685791],C0028215,nitrous oxide,TREATS,C0030193,Pain
"[4364, 9, 1549]",[6.968990802764893],C0032952,prednisone,TREATS,C0011633,Dermatomyositis
"[4363, 9, 3579]",[6.960564613342285],C0032950,prednisolone,TREATS,C0026764,Multiple Myeloma
"[2329, 9, 3835]",[6.8823771476745605],C0017687,glucagon,TREATS,C0028754,Obesity
"[5242, 9, 4822]",[6.823702335357666],C0039663,dronabinol,TREATS,C0036341,Schizophrenia
"[6326, 9, 11445]",[6.81245231628418],C0060926,gabapentin,TREATS,C0497327,Dementia
"[4364, 9, 136]",[6.7889814376831055],C0032952,prednisone,TREATS,C0001627,Congenital adrenal hyperplasia
"[9451, 9, 930]",[6.771749019622803],C0246415,docetaxel,TREATS,C0007137,Squamous cell carcinoma
"[9451, 9, 3983]",[6.73358678817749],C0246415,docetaxel,TREATS,C0030193,Pain
"[10046, 9, 1578]",[6.732492923736572],C0289313,rosiglitazone,TREATS,C0011849,Diabetes Mellitus
"[5272, 9, 3726]",[6.685092449188232],C0039871,thiotepa,TREATS,C0027819,Neuroblastoma
"[1965, 9, 1866]",[6.669188976287842],C0014912,estradiol,TREATS,C0014175,Endometriosis
"[3359, 9, 4822]",[6.633153438568115],C0025219,melatonin,TREATS,C0036341,Schizophrenia
"[1238, 9, 11445]",[6.5656843185424805],C0009079,clozapine,TREATS,C0497327,Dementia
"[2316, 9, 1578]",[6.56436824798584],C0017628,glibenclamide,TREATS,C0011849,Diabetes Mellitus
"[2673, 9, 4822]",[6.536284923553467],C0020404,hydroxyzine,TREATS,C0036341,Schizophrenia
"[6787, 9, 241]",[6.5274271965026855],C0073393,risperidone,TREATS,C0002395,Alzheimer's Disease
"[258, 9, 1430]",[6.5179924964904785],C0002499,amikacin,TREATS,C0010674,Cystic Fibrosis
"[6767, 9, 930]",[6.471306324005127],C0072980,sirolimus,TREATS,C0007137,Squamous cell carcinoma
"[5363, 9, 588]",[6.465381622314453],C0040341,tobramycin,TREATS,C0004626,"Pneumonia, Bacterial"
"[16055, 9, 1380]",[6.460564136505127],C1619966,abatacept,TREATS,C0010346,Crohn Disease
"[1260, 9, 546]",[6.454830169677734],C0009262,colchicine,TREATS,C0004238,Atrial Fibrillation
"[1416, 9, 3110]",[6.441287517547607],C0010583,cyclophosphamide,TREATS,C0023449,Acute lymphocytic leukemia
"[6692, 9, 1578]",[6.433834552764893],C0071097,pioglitazone,TREATS,C0011849,Diabetes Mellitus
"[14344, 9, 526]",[6.420499324798584],C1120386,micafungin,TREATS,C0004030,Aspergillosis
"[5640, 9, 2099]",[6.410769939422607],C0042313,vancomycin,TREATS,C0015967,Fever
"[11600, 9, 3579]",[6.4091057777404785],C0525079,bendamustine,TREATS,C0026764,Multiple Myeloma
"[6767, 9, 9793]",[6.395005226135254],C0072980,sirolimus,TREATS,C0278678,Metastatic Renal Cell Cancer
"[3017, 9, 7733]",[6.394265174865723],C0022635,ketoprofen,TREATS,C0149931,Migraine Disorders
"[2535, 9, 4288]",[6.359802722930908],C0019134,heparin,TREATS,C0032285,Pneumonia
"[12301, 9, 644]",[6.358542442321777],C0666743,infliximab,TREATS,C0005138,Berylliosis
"[4363, 9, 2099]",[6.352476596832275],C0032950,prednisolone,TREATS,C0015967,Fever
"[11666, 9, 506]",[6.330130577087402],C0541315,everolimus,TREATS,C0003873,Rheumatoid Arthritis
"[14458, 9, 3249]",[6.280737400054932],C1144149,lenalidomide,TREATS,C0024305,"Lymphoma, Non-Hodgkin"
"[3784, 9, 4531]",[6.266799449920654],C0028156,nitrofurantoin,TREATS,C0034186,Pyelonephritis
"[18257, 9, 10314]",[6.265100002288818],C4741328,rituximab-abbs,TREATS,C0334634,"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse"
"[4436, 9, 4002]",[6.247605323791504],C0033487,propofol,TREATS,C0030305,Pancreatitis
"[6767, 9, 2688]",[6.235082149505615],C0072980,sirolimus,TREATS,C0020459,Hyperinsulinism
"[10030, 9, 1578]",[6.2267069816589355],C0286651,atorvastatin,TREATS,C0011849,Diabetes Mellitus
"[5686, 9, 11767]",[6.220324993133545],C0042679,vincristine,TREATS,C0553580,Ewings sarcoma
"[2169, 9, 929]",[6.212563991546631],C0016360,fluorouracil,TREATS,C0007134,Renal Cell Carcinoma
"[5898, 9, 9600]",[6.208787441253662],C0051696,amlodipine,TREATS,C0264716,Chronic heart failure
"[2748, 9, 1288]",[6.20103120803833],C0020740,ibuprofen,TREATS,C0009443,Common Cold
"[3445, 9, 4720]",[6.1988301277160645],C0025677,methotrexate,TREATS,C0035335,Retinoblastoma
"[13692, 9, 14038]",[6.189493656158447],C0872913,tenecteplase,TREATS,C0948008,Ischemic stroke
