Triple,Model Score,SUBJECT_CUI,SUBJECT_NAME,PREDICATE,OBJECT_CUI,OBJECT_NAME
"[1894, 9, 2728]",[2.006568138313014e-07],C0016277,fluconazole,TREATS,C0023283,"Leishmaniasis, Cutaneous"
"[9924, 9, 3396]",[1.6687181414454244e-07],C0544368,hydrocortamate,TREATS,C0028840,Ocular Hypertension
"[15819, 9, 3256]",[1.1587016501835024e-07],C5834323,INT-230-6 COMPONENT CISPLATIN,TREATS,C0027498,Nausea and vomiting
"[13104, 9, 7804]",[1.1229468555029598e-07],C1515388,Luteohormone,TREATS,C0221074,"Depression, Postpartum"
"[2426, 9, 4173]",[1.0993593946295732e-07],C0020823,ifosfamide,TREATS,C0035412,Rhabdomyosarcoma
"[3065, 9, 13231]",[1.078213074379164e-07],C0025819,Methylprednisolone Hemisuccinate,TREATS,C1531702,Acute lymphoblastic leukemia - category
"[577, 9, 2363]",[5.8309908013143286e-08],C0005301,betahistine,TREATS,C0020443,Hypercholesterolemia
"[5907, 9, 8388]",[5.2449241394469936e-08],C0072980,sirolimus,TREATS,C0278678,Metastatic Renal Cell Cancer
"[4997, 9, 3205]",[5.011287385059404e-08],C0042646,vidarabine,TREATS,C0027022,Myeloproliferative disease
"[13859, 9, 6737]",[4.941966125215913e-08],C2001271,tapentadol,TREATS,C0150055,Chronic pain
"[3065, 9, 2201]",[4.795953145730891e-08],C0025819,Methylprednisolone Hemisuccinate,TREATS,C0018916,Hemangioma
"[12301, 9, 8388]",[4.114986751346805e-08],C1176309,bortezomib,TREATS,C0278678,Metastatic Renal Cell Cancer
"[13064, 9, 4164]",[4.022383137680663e-08],C1513105,Melphalanum,TREATS,C0035335,Retinoblastoma
"[11286, 9, 284]",[3.793312686184436e-08],C0795597,cytarabine liposome,TREATS,C0002874,Aplastic Anemia
"[10607, 9, 269]",[3.746974286400473e-08],C0700189,Lithonate,TREATS,C0002736,Amyotrophic Lateral Sclerosis
