Triple,Model Score,SUBJECT_CUI,SUBJECT_NAME,PREDICATE,OBJECT_CUI,OBJECT_NAME
"[3224, 9, 469]",[-1.244805097579956],C0027235,ipratropium,TREATS,C0004096,Asthma
"[11803, 9, 4467]",[-1.3279881477355957],C0937846,esomeprazole,TREATS,C0038358,Gastric ulcer
"[5044, 9, 11841]",[-1.342566967010498],C0043031,warfarin,TREATS,C0948008,Ischemic stroke
"[5182, 9, 8234]",[-1.3536629676818848],C0051696,amlodipine,TREATS,C0264716,Chronic heart failure
"[2842, 9, 1683]",[-1.405312180519104],C0024002,lorazepam,TREATS,C0014544,Epilepsy
"[7773, 9, 5037]",[-1.4152580499649048],C0220578,palonosetron,TREATS,C0042963,Vomiting
"[1254, 9, 2747]",[-1.4160157442092896],C0010583,cyclophosphamide,TREATS,C0023449,Acute lymphocytic leukemia
"[1463, 9, 3248]",[-1.452290415763855],C0012522,diphenhydramine,TREATS,C0027424,Nasal congestion (finding)
"[699, 9, 4178]",[-1.462737798690796],C0006246,brompheniramine,TREATS,C0035455,Rhinitis
"[3855, 9, 116]",[-1.4708915948867798],C0032952,prednisone,TREATS,C0001627,Congenital adrenal hyperplasia
"[3324, 9, 2371]",[-1.488641619682312],C0027996,niacin,TREATS,C0020473,Hyperlipidemia
"[12303, 9, 14306]",[-1.4914016723632812],C1176316,tadalafil,TREATS,C2973725,Pulmonary arterial hypertension
"[9184, 9, 8234]",[-1.5099780559539795],C0386393,olmesartan medoxomil,TREATS,C0264716,Chronic heart failure
"[11918, 9, 2371]",[-1.5251963138580322],C0965129,rosuvastatin,TREATS,C0020473,Hyperlipidemia
"[3910, 9, 3248]",[-1.5472376346588135],C0033405,promethazine,TREATS,C0027424,Nasal congestion (finding)
"[1463, 9, 5037]",[-1.5502907037734985],C0012522,diphenhydramine,TREATS,C0042963,Vomiting
"[12210, 9, 770]",[-1.5512208938598633],C1145701,amphotericin B liposomal,TREATS,C0006840,Candidiasis
"[10402, 9, 14515]",[-1.5560213327407837],C0666743,infliximab,TREATS,C3495559,Juvenile arthritis
"[12108, 9, 463]",[-1.5564783811569214],C1120386,micafungin,TREATS,C0004030,Aspergillosis
"[7773, 9, 3255]",[-1.5660412311553955],C0220578,palonosetron,TREATS,C0027497,Nausea
"[11559, 9, 11841]",[-1.56990385055542],C0872913,tenecteplase,TREATS,C0948008,Ischemic stroke
"[13405, 9, 1225]",[-1.5704925060272217],C1619966,abatacept,TREATS,C0010346,Crohn Disease
"[12108, 9, 770]",[-1.5924112796783447],C1120386,micafungin,TREATS,C0006840,Candidiasis
"[15382, 9, 8831]",[-1.6125597953796387],C4741328,rituximab-abbs,TREATS,C0334634,"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse"
"[9879, 9, 770]",[-1.6259069442749023],C0537894,caspofungin,TREATS,C0006840,Candidiasis
"[2842, 9, 3255]",[-1.6279281377792358],C0024002,lorazepam,TREATS,C0027497,Nausea
"[4963, 9, 1859]",[-1.62831711769104],C0042313,vancomycin,TREATS,C0015967,Fever
"[2842, 9, 4251]",[-1.6291632652282715],C0024002,lorazepam,TREATS,C0036341,Schizophrenia
"[12195, 9, 463]",[-1.6421345472335815],C1142738,anidulafungin,TREATS,C0004030,Aspergillosis
"[5907, 9, 8388]",[-1.6587605476379395],C0072980,sirolimus,TREATS,C0278678,Metastatic Renal Cell Cancer
"[14326, 9, 3396]",[-1.6730924844741821],C2983887,timolol anhydrous,TREATS,C0028840,Ocular Hypertension
"[5846, 9, 3390]",[-1.680320382118225],C0071097,pioglitazone,TREATS,C0028754,Obesity
"[3739, 9, 4251]",[-1.6811184883117676],C0031935,pimozide,TREATS,C0036341,Schizophrenia
"[3329, 9, 2371]",[-1.6815128326416016],C0028027,nicotinamide,TREATS,C0020473,Hyperlipidemia
"[1921, 9, 608]",[-1.6900100708007812],C0016365,fluoxetine,TREATS,C0005586,Bipolar Disorder
"[3964, 9, 1208]",[-1.6917232275009155],C0033798,pseudoephedrine,TREATS,C0010200,Coughing
"[1679, 9, 4331]",[-1.7084029912948608],C0014479,ephedrine,TREATS,C0037199,Sinusitis
