Triple,Model Score,SUBJECT_CUI,SUBJECT_NAME,PREDICATE,OBJECT_CUI,OBJECT_NAME
"[12108, 9, 463]",[-12.264032363891602],C1120386,micafungin,TREATS,C0004030,Aspergillosis
"[7773, 9, 3255]",[-12.340169906616211],C0220578,palonosetron,TREATS,C0027497,Nausea
"[11690, 9, 3390]",[-12.733323097229004],C0907402,insulin glargine,TREATS,C0028754,Obesity
"[11803, 9, 4467]",[-12.749359130859375],C0937846,esomeprazole,TREATS,C0038358,Gastric ulcer
"[7773, 9, 5037]",[-12.869686126708984],C0220578,palonosetron,TREATS,C0042963,Vomiting
"[3890, 9, 3390]",[-13.261859893798828],C0033228,fenofibrate,TREATS,C0028754,Obesity
"[5044, 9, 11841]",[-13.414331436157227],C0043031,warfarin,TREATS,C0948008,Ischemic stroke
"[12195, 9, 463]",[-13.443391799926758],C1142738,anidulafungin,TREATS,C0004030,Aspergillosis
"[3066, 9, 8295]",[-13.515768051147461],C0025826,methyltestosterone,TREATS,C0271623,Hypogonadotropic hypogonadism
"[10402, 9, 4590]",[-13.562783241271973],C0666743,infliximab,TREATS,C0039483,Giant Cell Arteritis
"[5926, 9, 208]",[-13.581684112548828],C0073393,risperidone,TREATS,C0002395,Alzheimer's Disease
"[3855, 9, 116]",[-13.594779968261719],C0032952,prednisone,TREATS,C0001627,Congenital adrenal hyperplasia
"[1520, 9, 4173]",[-13.658980369567871],C0013089,doxorubicin,TREATS,C0035412,Rhabdomyosarcoma
"[6673, 9, 3463]",[-13.687190055847168],C0145106,teicoplanin,TREATS,C0029443,Osteomyelitis
"[12134, 9, 822]",[-13.700833320617676],C1135135,erlotinib,TREATS,C0007137,Squamous cell carcinoma
"[2842, 9, 3255]",[-13.81403636932373],C0024002,lorazepam,TREATS,C0027497,Nausea
"[12114, 9, 469]",[-13.843704223632812],C1122087,adalimumab,TREATS,C0004096,Asthma
"[10402, 9, 14515]",[-13.852106094360352],C0666743,infliximab,TREATS,C3495559,Juvenile arthritis
"[6100, 9, 3298]",[-13.946720123291016],C0079083,carboplatin,TREATS,C0027819,Neuroblastoma
"[3052, 9, 9714]",[-13.952268600463867],C0025678,methotrimeprazine,TREATS,C0497327,Dementia
"[12114, 9, 4240]",[-13.972789764404297],C1122087,adalimumab,TREATS,C0036202,Sarcoidosis
"[7739, 9, 449]",[-13.975948333740234],C0209368,mycophenolate mofetil,TREATS,C0003873,Rheumatoid Arthritis
"[12303, 9, 14306]",[-13.978288650512695],C1176316,tadalafil,TREATS,C2973725,Pulmonary arterial hypertension
"[5906, 9, 480]",[-14.005240440368652],C0072973,ramipril,TREATS,C0004238,Atrial Fibrillation
"[3033, 9, 7994]",[-14.022178649902344],C0025598,metformin,TREATS,C0242339,Dyslipidemias
"[4640, 9, 3298]",[-14.058839797973633],C0039871,thiotepa,TREATS,C0027819,Neuroblastoma
"[1679, 9, 1208]",[-14.062536239624023],C0014479,ephedrine,TREATS,C0010200,Coughing
"[5793, 9, 8454]",[-14.065763473510742],C0069717,oxaliplatin,TREATS,C0281361,Adenocarcinoma of pancreas
"[1679, 9, 4331]",[-14.075567245483398],C0014479,ephedrine,TREATS,C0037199,Sinusitis
"[3964, 9, 1208]",[-14.087629318237305],C0033798,pseudoephedrine,TREATS,C0010200,Coughing
"[5954, 9, 208]",[-14.101029396057129],C0074554,simvastatin,TREATS,C0002395,Alzheimer's Disease
"[5813, 9, 480]",[-14.110006332397461],C0070166,clopidogrel,TREATS,C0004238,Atrial Fibrillation
"[1463, 9, 5037]",[-14.128589630126953],C0012522,diphenhydramine,TREATS,C0042963,Vomiting
"[3910, 9, 1208]",[-14.1343412399292],C0033405,promethazine,TREATS,C0010200,Coughing
"[5846, 9, 3390]",[-14.187155723571777],C0071097,pioglitazone,TREATS,C0028754,Obesity
"[9187, 9, 8000]",[-14.217439651489258],C0387288,verteporfin,TREATS,C0242383,Age related macular degeneration
"[4720, 9, 519]",[-14.224702835083008],C0040341,tobramycin,TREATS,C0004626,"Pneumonia, Bacterial"
"[1254, 9, 2747]",[-14.252094268798828],C0010583,cyclophosphamide,TREATS,C0023449,Acute lymphocytic leukemia
"[2738, 9, 820]",[-14.255720138549805],C0023413,leucovorin,TREATS,C0007131,Non-Small Cell Lung Carcinoma
"[1254, 9, 284]",[-14.269758224487305],C0010583,cyclophosphamide,TREATS,C0002874,Aplastic Anemia
"[1446, 9, 6737]",[-14.277200698852539],C0012306,hydromorphone,TREATS,C0150055,Chronic pain
