Triple,Model Score,SUBJECT_CUI,SUBJECT_NAME,PREDICATE,OBJECT_CUI,OBJECT_NAME
"[144, 9, 3902]",[86.34619140625],C0001962,ethanol,TREATS,C0036992,Short Bowel Syndrome
"[8776, 9, 3008]",[85.7848129272461],C0536495,moxifloxacin,TREATS,C0027819,Neuroblastoma
"[4348, 9, 8638]",[82.19657897949219],C0040778,tranylcypromine,TREATS,C0497327,Dementia
"[3578, 9, 10207]",[81.69493103027344],C0033497,propranolol,TREATS,C0860594,"Malignant melanoma, metastatic"
"[3363, 9, 3008]",[80.89472198486328],C0031507,phenytoin,TREATS,C0027819,Neuroblastoma
"[13704, 9, 3621]",[76.38605499267578],C4740830,adalimumab-adaz,TREATS,C0033860,Psoriasis
"[9534, 9, 3159]",[73.24143981933594],C0717758,etanercept,TREATS,C0029456,Osteoporosis
"[6979, 9, 2968]",[71.8773422241211],C0220578,palonosetron,TREATS,C0027497,Nausea
"[6042, 9, 3155]",[71.5208740234375],C0145106,teicoplanin,TREATS,C0029443,Osteomyelitis
"[5392, 9, 9790]",[69.75437927246094],C0074554,simvastatin,TREATS,C0751967,"Multiple Sclerosis, Relapsing-Remitting"
"[6979, 9, 4573]",[69.69915008544922],C0220578,palonosetron,TREATS,C0042963,Vomiting
"[9865, 9, 8666]",[69.15501403808594],C0770565,dexamethasone phosphate,TREATS,C0520909,Postoperative Nausea and Vomiting
"[1138, 9, 8727]",[66.70513916015625],C0010592,ciclosporin,TREATS,C0524910,"Hepatitis C, Chronic"
"[7295, 9, 3847]",[65.7747573852539],C0252643,bosentan,TREATS,C0036202,Sarcoidosis
"[1237, 9, 7899]",[64.94425964355469],C0011777,dexamethasone,TREATS,C0334634,"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse"
"[2199, 9, 7128]",[64.803955078125],C0020740,ibuprofen,TREATS,C0238425,Hemoglobin SS disease with crisis
"[4537, 9, 2622]",[64.67996215820312],C0042646,vidarabine,TREATS,C0024419,Waldenstrom Macroglobulinemia
"[8786, 9, 738]",[64.51959228515625],C0538927,celecoxib,TREATS,C0007131,Non-Small Cell Lung Carcinoma
"[1755, 9, 739]",[64.38078308105469],C0016410,folic acid,TREATS,C0007134,Renal Cell Carcinoma
"[9865, 9, 2889]",[64.11616516113281],C0770565,dexamethasone phosphate,TREATS,C0026764,Multiple Myeloma
"[8794, 9, 3276]",[63.924530029296875],C0541315,everolimus,TREATS,C0030807,Pemphigus
"[642, 9, 377]",[63.66310119628906],C0006400,bupivacaine,TREATS,C0003615,Appendicitis
"[3094, 9, 3364]",[63.63701248168945],C0028833,octreotide,TREATS,C0031511,Pheochromocytoma
"[5686, 9, 8638]",[63.35034942626953],C0085208,bupropion,TREATS,C0497327,Dementia
"[1013, 9, 8727]",[62.9620246887207],C0009262,colchicine,TREATS,C0524910,"Hepatitis C, Chronic"
"[1191, 9, 2639]",[62.91422653198242],C0011185,prasterone,TREATS,C0024530,Malaria
"[4357, 9, 3794]",[62.881561279296875],C0040864,triamcinolone,TREATS,C0035455,Rhinitis
"[5460, 9, 3857]",[62.871585845947266],C0076829,topiramate,TREATS,C0036341,Schizophrenia
"[4986, 9, 2889]",[62.216148376464844],C0059865,etodolac,TREATS,C0026764,Multiple Myeloma
"[1270, 9, 2172]",[62.15437316894531],C0012022,diazoxide,TREATS,C0020557,Hypertriglyceridemia
"[3615, 9, 1093]",[61.855323791503906],C0033798,pseudoephedrine,TREATS,C0010200,Coughing
"[3513, 9, 1684]",[61.6185188293457],C0032950,prednisolone,TREATS,C0015967,Fever
"[1134, 9, 2502]",[61.6062126159668],C0010583,cyclophosphamide,TREATS,C0023473,"Myeloid Leukemia, Chronic"
"[409, 9, 2889]",[61.07422637939453],C0003968,ascorbic acid,TREATS,C0026764,Multiple Myeloma
"[9249, 9, 2889]",[60.92543411254883],C0672708,vorinostat,TREATS,C0026764,Multiple Myeloma
"[10931, 9, 2495]",[60.86012649536133],C1176309,bortezomib,TREATS,C0023449,Acute lymphocytic leukemia
"[5518, 9, 544]",[60.34259033203125],C0078844,zonisamide,TREATS,C0005586,Bipolar Disorder
"[419, 9, 2891]",[60.147064208984375],C0004057,acetylsalicylic acid,TREATS,C0026769,Multiple Sclerosis
