Triple,Model Score,SUBJECT_CUI,SUBJECT_NAME,PREDICATE,OBJECT_CUI,OBJECT_NAME
"[10499, 9, 4052]",[-0.380236953496933],C0937846,esomeprazole,TREATS,C0038358,Gastric ulcer
"[625, 9, 1093]",[-0.38189858198165894],C0006246,brompheniramine,TREATS,C0010200,Coughing
"[3615, 9, 1093]",[-0.3840921223163605],C0033798,pseudoephedrine,TREATS,C0010200,Coughing
"[13704, 9, 3621]",[-0.39935165643692017],C4740830,adalimumab-adaz,TREATS,C0033860,Psoriasis
"[10604, 9, 2150]",[-0.40633249282836914],C0965129,rosuvastatin,TREATS,C0020473,Hyperlipidemia
"[6950, 9, 402]",[-0.42102253437042236],C0209368,mycophenolate mofetil,TREATS,C0003873,Rheumatoid Arthritis
"[1571, 9, 1489]",[-0.42611759901046753],C0014912,estradiol,TREATS,C0014175,Endometriosis
"[2803, 9, 3155]",[-0.4270966947078705],C0025872,metronidazole,TREATS,C0029443,Osteomyelitis
"[4191, 9, 4492]",[-0.4288609027862549],C0039736,thalidomide,TREATS,C0042164,Uveitis
"[1519, 9, 1093]",[-0.4317564368247986],C0014479,ephedrine,TREATS,C0010200,Coughing
"[3839, 9, 8348]",[-0.43793985247612],C0036079,salicylic acid,TREATS,C0406317,Chronic small plaque psoriasis
"[9865, 9, 1109]",[-0.4384433627128601],C0770565,dexamethasone phosphate,TREATS,C0010346,Crohn Disease
"[625, 9, 3794]",[-0.4390588700771332],C0006246,brompheniramine,TREATS,C0035455,Rhinitis
"[4833, 9, 3655]",[-0.44165146350860596],C0055014,ceftibuten,TREATS,C0034186,Pyelonephritis
"[4282, 9, 466]",[-0.44291627407073975],C0040341,tobramycin,TREATS,C0004626,"Pneumonia, Bacterial"
"[4506, 9, 466]",[-0.4469035267829895],C0042313,vancomycin,TREATS,C0004626,"Pneumonia, Bacterial"
"[5270, 9, 430]",[-0.44830435514450073],C0070166,clopidogrel,TREATS,C0004238,Atrial Fibrillation
"[5254, 9, 738]",[-0.4511370360851288],C0069717,oxaliplatin,TREATS,C0007131,Non-Small Cell Lung Carcinoma
"[228, 9, 3655]",[-0.4604719281196594],C0002645,amoxicillin,TREATS,C0034186,Pyelonephritis
"[3408, 9, 3857]",[-0.46438586711883545],C0031935,pimozide,TREATS,C0036341,Schizophrenia
"[10778, 9, 691]",[-0.46904003620147705],C1120386,micafungin,TREATS,C0006840,Candidiasis
"[1743, 9, 544]",[-0.4765637218952179],C0016365,fluoxetine,TREATS,C0005586,Bipolar Disorder
"[8776, 9, 7411]",[-0.4775463938713074],C0536495,moxifloxacin,TREATS,C0271429,Acute otitis media
"[4191, 9, 2090]",[-0.478912353515625],C0039736,thalidomide,TREATS,C0019829,Hodgkin Disease
"[8212, 9, 3325]",[-0.48344454169273376],C0389169,doripenem,TREATS,C0031154,Peritonitis
"[3514, 9, 103]",[-0.4844326078891754],C0032952,prednisone,TREATS,C0001627,Congenital adrenal hyperplasia
"[10399, 9, 3089]",[-0.4856885075569153],C0907402,insulin glargine,TREATS,C0028754,Obesity
"[9236, 9, 12891]",[-0.4859372675418854],C0666743,infliximab,TREATS,C3495559,Juvenile arthritis
"[10277, 9, 3639]",[-0.4926031827926636],C0872913,tenecteplase,TREATS,C0034065,Pulmonary Embolism
"[10778, 9, 415]",[-0.496751606464386],C1120386,micafungin,TREATS,C0004030,Aspergillosis
"[1318, 9, 2961]",[-0.49714991450309753],C0012522,diphenhydramine,TREATS,C0027424,Nasal congestion (finding)
"[10784, 9, 3847]",[-0.49954479932785034],C1122087,adalimumab,TREATS,C0036202,Sarcoidosis
"[1318, 9, 4573]",[-0.49959301948547363],C0012522,diphenhydramine,TREATS,C0042963,Vomiting
"[5349, 9, 430]",[-0.516551673412323],C0072973,ramipril,TREATS,C0004238,Atrial Fibrillation
"[4206, 9, 3008]",[-0.5190410017967224],C0039871,thiotepa,TREATS,C0027819,Neuroblastoma
"[3413, 9, 3155]",[-0.5213644504547119],C0031955,piperacillin,TREATS,C0029443,Osteomyelitis
"[1134, 9, 2706]",[-0.5264428853988647],C0010583,cyclophosphamide,TREATS,C0025202,melanoma
"[228, 9, 3325]",[-0.5279198288917542],C0002645,amoxicillin,TREATS,C0031154,Peritonitis
"[11831, 9, 2891]",[-0.5347838401794434],C1619966,abatacept,TREATS,C0026769,Multiple Sclerosis
"[4532, 9, 1980]",[-0.5354759693145752],C0042523,verapamil,TREATS,C0018801,Heart failure
"[1134, 9, 2495]",[-0.5386653542518616],C0010583,cyclophosphamide,TREATS,C0023449,Acute lymphocytic leukemia
"[6040, 9, 740]",[-0.5389121174812317],C0144576,paclitaxel,TREATS,C0007137,Squamous cell carcinoma
"[11831, 9, 2600]",[-0.5410656332969666],C1619966,abatacept,TREATS,C0024141,"Lupus Erythematosus, Systemic"
"[2204, 9, 3008]",[-0.5421332716941833],C0020823,ifosfamide,TREATS,C0027819,Neuroblastoma
"[10784, 9, 421]",[-0.551800012588501],C1122087,adalimumab,TREATS,C0004096,Asthma
"[228, 9, 7227]",[-0.5531746745109558],C0002645,amoxicillin,TREATS,C0243001,Abdominal Abscess
"[9245, 9, 738]",[-0.5554890036582947],C0671970,capecitabine,TREATS,C0007131,Non-Small Cell Lung Carcinoma
"[1318, 9, 1093]",[-0.5563501715660095],C0012522,diphenhydramine,TREATS,C0010200,Coughing
"[5270, 9, 277]",[-0.5597122311592102],C0070166,clopidogrel,TREATS,C0002962,Angina Pectoris
"[10863, 9, 691]",[-0.5626943707466125],C1145701,amphotericin B liposomal,TREATS,C0006840,Candidiasis
"[6979, 9, 2968]",[-0.5654340982437134],C0220578,palonosetron,TREATS,C0027497,Nausea
"[1134, 9, 256]",[-0.5716360807418823],C0010583,cyclophosphamide,TREATS,C0002874,Aplastic Anemia
"[3054, 9, 3655]",[-0.5722799897193909],C0028156,nitrofurantoin,TREATS,C0034186,Pyelonephritis
"[9225, 9, 3155]",[-0.574507474899292],C0663241,linezolid,TREATS,C0029443,Osteomyelitis
"[2780, 9, 256]",[-0.5763541460037231],C0025677,methotrexate,TREATS,C0002874,Aplastic Anemia
"[11480, 9, 1252]",[-0.5786001086235046],C1456408,liraglutide,TREATS,C0011849,Diabetes Mellitus
"[8776, 9, 3155]",[-0.5809606909751892],C0536495,moxifloxacin,TREATS,C0029443,Osteomyelitis
"[5909, 9, 7411]",[-0.5846278667449951],C0110038,clavulanate,TREATS,C0271429,Acute otitis media
"[11831, 9, 1109]",[-0.5861306190490723],C1619966,abatacept,TREATS,C0010346,Crohn Disease
"[1318, 9, 3794]",[-0.5892252326011658],C0012522,diphenhydramine,TREATS,C0035455,Rhinitis
"[13708, 9, 7899]",[-0.5898475646972656],C4741328,rituximab-abbs,TREATS,C0334634,"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse"
"[12257, 9, 2615]",[-0.5904566049575806],C1998098,panobinostat,TREATS,C0024305,"Lymphoma, Non-Hodgkin"
"[2486, 9, 738]",[-0.5930660963058472],C0023413,leucovorin,TREATS,C0007131,Non-Small Cell Lung Carcinoma
"[454, 9, 3155]",[-0.5946489572525024],C0004521,aztreonam,TREATS,C0029443,Osteomyelitis
"[5081, 9, 2600]",[-0.5956479907035828],C0063041,leflunomide,TREATS,C0024141,"Lupus Erythematosus, Systemic"
"[1743, 9, 3857]",[-0.5967568159103394],C0016365,fluoxetine,TREATS,C0036341,Schizophrenia
"[4183, 9, 3857]",[-0.5985913872718811],C0039663,dronabinol,TREATS,C0036341,Schizophrenia
"[2780, 9, 3008]",[-0.600480318069458],C0025677,methotrexate,TREATS,C0027819,Neuroblastoma
"[5176, 9, 466]",[-0.6017429232597351],C0066005,meropenem,TREATS,C0004626,"Pneumonia, Bacterial"
"[5525, 9, 3008]",[-0.6026976704597473],C0079083,carboplatin,TREATS,C0027819,Neuroblastoma
"[1743, 9, 8638]",[-0.6037875413894653],C0016365,fluoxetine,TREATS,C0497327,Dementia
"[2584, 9, 3857]",[-0.6042389273643494],C0024002,lorazepam,TREATS,C0036341,Schizophrenia
"[4389, 9, 3655]",[-0.6043359637260437],C0041041,trimethoprim,TREATS,C0034186,Pyelonephritis
"[6979, 9, 4573]",[-0.6071338057518005],C0220578,palonosetron,TREATS,C0042963,Vomiting
"[1134, 9, 1109]",[-0.6075875163078308],C0010583,cyclophosphamide,TREATS,C0010346,Crohn Disease
