Triple,Model Score,SUBJECT_CUI,SUBJECT_NAME,PREDICATE,OBJECT_CUI,OBJECT_NAME
"[1416, 9, 3119]",[-0.2916083335876465],C0010583,cyclophosphamide,TREATS,C0023473,"Myeloid Leukemia, Chronic"
"[1416, 9, 3110]",[-0.3048730492591858],C0010583,cyclophosphamide,TREATS,C0023449,Acute lymphocytic leukemia
"[1416, 9, 1380]",[-0.3471348285675049],C0010583,cyclophosphamide,TREATS,C0010346,Crohn Disease
"[13362, 9, 929]",[-0.39052557945251465],C0796392,bevacizumab,TREATS,C0007134,Renal Cell Carcinoma
"[2169, 9, 929]",[-0.39159494638442993],C0016360,fluorouracil,TREATS,C0007134,Renal Cell Carcinoma
"[13345, 9, 2468]",[-0.3985438346862793],C0795635,insulin human,TREATS,C0018801,Heart failure
"[6909, 9, 2715]",[-0.4346194267272949],C0076829,topiramate,TREATS,C0020557,Hypertriglyceridemia
"[16055, 9, 1380]",[-0.44294843077659607],C1619966,abatacept,TREATS,C0010346,Crohn Disease
"[6909, 9, 2690]",[-0.4437974691390991],C0076829,topiramate,TREATS,C0020473,Hyperlipidemia
"[6650, 9, 11445]",[-0.44639721512794495],C0070122,paroxetine,TREATS,C0497327,Dementia
"[4436, 9, 4002]",[-0.45137864351272583],C0033487,propofol,TREATS,C0030305,Pancreatitis
"[1998, 9, 3579]",[-0.45832061767578125],C0015133,etoposide,TREATS,C0026764,Multiple Myeloma
"[4364, 9, 3983]",[-0.4675105810165405],C0032952,prednisone,TREATS,C0030193,Pain
"[1727, 9, 4731]",[-0.4703354239463806],C0013089,doxorubicin,TREATS,C0035412,Rhabdomyosarcoma
"[816, 9, 1907]",[-0.47056716680526733],C0006462,buspirone,TREATS,C0014544,Epilepsy
"[10030, 9, 11482]",[-0.47106239199638367],C0286651,atorvastatin,TREATS,C0520679,"Sleep Apnea, Obstructive"
"[12822, 9, 927]",[-0.4711093306541443],C0728747,trastuzumab,TREATS,C0007131,Non-Small Cell Lung Carcinoma
"[1726, 9, 11445]",[-0.47512075304985046],C0013085,doxepin,TREATS,C0497327,Dementia
"[810, 9, 3915]",[-0.4813881516456604],C0006405,buprenorphine,TREATS,C0029408,Degenerative polyarthritis
"[2434, 9, 3680]",[-0.4820570945739746],C0018546,haloperidol,TREATS,C0027497,Nausea
"[13969, 9, 927]",[-0.48412439227104187],C0935989,imatinib,TREATS,C0007131,Non-Small Cell Lung Carcinoma
"[3503, 9, 4822]",[-0.484950453042984],C0026056,midazolam,TREATS,C0036341,Schizophrenia
"[9444, 9, 4033]",[-0.5007829666137695],C0245561,duloxetine,TREATS,C0030567,Parkinson Disease
"[3503, 9, 1907]",[-0.5009114146232605],C0026056,midazolam,TREATS,C0014544,Epilepsy
"[3012, 9, 1907]",[-0.5292114019393921],C0022614,ketamine,TREATS,C0014544,Epilepsy
"[276, 9, 11445]",[-0.5293197631835938],C0002600,amitriptyline,TREATS,C0497327,Dementia
"[10030, 9, 546]",[-0.5385239124298096],C0286651,atorvastatin,TREATS,C0004238,Atrial Fibrillation
"[12280, 9, 11445]",[-0.5418097972869873],C0657912,pregabalin,TREATS,C0497327,Dementia
"[3862, 9, 3680]",[-0.5418998003005981],C0028978,omeprazole,TREATS,C0027497,Nausea
"[1472, 9, 3281]",[-0.5442535877227783],C0010980,dapsone,TREATS,C0024530,Malaria
"[1146, 9, 2715]",[-0.5486752986907959],C0008405,choline,TREATS,C0020557,Hypertriglyceridemia
"[816, 9, 4822]",[-0.554495096206665],C0006462,buspirone,TREATS,C0036341,Schizophrenia
"[808, 9, 3915]",[-0.5556075572967529],C0006400,bupivacaine,TREATS,C0029408,Degenerative polyarthritis
"[5730, 9, 14038]",[-0.5567104816436768],C0043031,warfarin,TREATS,C0948008,Ischemic stroke
"[1965, 9, 374]",[-0.5568252801895142],C0014912,estradiol,TREATS,C0003125,Anorexia Nervosa
"[3505, 9, 1540]",[-0.556917667388916],C0026088,mifepristone,TREATS,C0011581,Depressive disorder
"[5250, 9, 2617]",[-0.5604130625724792],C0039736,thalidomide,TREATS,C0019829,Hodgkin Disease
"[2329, 9, 3835]",[-0.5610255002975464],C0017687,glucagon,TREATS,C0028754,Obesity
"[17060, 9, 2309]",[-0.562507152557373],C2983887,timolol anhydrous,TREATS,C0017601,Glaucoma
"[13692, 9, 4510]",[-0.566200852394104],C0872913,tenecteplase,TREATS,C0034065,Pulmonary Embolism
"[3445, 9, 3119]",[-0.5672280192375183],C0025677,methotrexate,TREATS,C0023473,"Myeloid Leukemia, Chronic"
"[6450, 9, 4822]",[-0.5707290172576904],C0064636,lamotrigine,TREATS,C0036341,Schizophrenia
"[1998, 9, 3249]",[-0.5717052221298218],C0015133,etoposide,TREATS,C0024305,"Lymphoma, Non-Hodgkin"
"[3308, 9, 4822]",[-0.5746078491210938],C0024778,maprotiline,TREATS,C0036341,Schizophrenia
"[10722, 9, 3230]",[-0.5747780799865723],C0383429,alemtuzumab,TREATS,C0024141,"Lupus Erythematosus, Systemic"
"[3361, 9, 3249]",[-0.574948787689209],C0025241,melphalan,TREATS,C0024305,"Lymphoma, Non-Hodgkin"
"[3801, 9, 4033]",[-0.5768837928771973],C0028351,norepinephrine,TREATS,C0030567,Parkinson Disease
"[5250, 9, 5617]",[-0.5770024061203003],C0039736,thalidomide,TREATS,C0042164,Uveitis
"[288, 9, 4531]",[-0.5789233446121216],C0002645,amoxicillin,TREATS,C0034186,Pyelonephritis
"[1914, 9, 532]",[-0.5798169374465942],C0014563,epinephrine,TREATS,C0004096,Asthma
"[4363, 9, 2099]",[-0.5799336433410645],C0032950,prednisolone,TREATS,C0015967,Fever
"[16055, 9, 3603]",[-0.5809722542762756],C1619966,abatacept,TREATS,C0026896,Myasthenia Gravis
"[1660, 9, 5723]",[-0.5855319499969482],C0012522,diphenhydramine,TREATS,C0042963,Vomiting
"[2672, 9, 3581]",[-0.5863686800003052],C0020402,hydroxycarbamide,TREATS,C0026769,Multiple Sclerosis
"[14344, 9, 526]",[-0.5880054235458374],C1120386,micafungin,TREATS,C0004030,Aspergillosis
"[1660, 9, 4736]",[-0.5909236073493958],C0012522,diphenhydramine,TREATS,C0035455,Rhinitis
"[13692, 9, 14038]",[-0.5921047329902649],C0872913,tenecteplase,TREATS,C0948008,Ischemic stroke
"[16055, 9, 3230]",[-0.5940382480621338],C1619966,abatacept,TREATS,C0024141,"Lupus Erythematosus, Systemic"
"[3458, 9, 2099]",[-0.5974582433700562],C0025815,methylprednisolone,TREATS,C0015967,Fever
"[3469, 9, 3926]",[-0.5978792905807495],C0025872,metronidazole,TREATS,C0029443,Osteomyelitis
"[16055, 9, 3581]",[-0.5979974269866943],C1619966,abatacept,TREATS,C0026769,Multiple Sclerosis
"[3012, 9, 687]",[-0.606092095375061],C0022614,ketamine,TREATS,C0005586,Bipolar Disorder
"[3505, 9, 241]",[-0.6079329252243042],C0026088,mifepristone,TREATS,C0002395,Alzheimer's Disease
"[6631, 9, 927]",[-0.609579861164093],C0069717,oxaliplatin,TREATS,C0007131,Non-Small Cell Lung Carcinoma
"[3012, 9, 4002]",[-0.6139042377471924],C0022614,ketamine,TREATS,C0030305,Pancreatitis
"[14350, 9, 532]",[-0.6151108741760254],C1122087,adalimumab,TREATS,C0004096,Asthma
"[6766, 9, 546]",[-0.6156742572784424],C0072973,ramipril,TREATS,C0004238,Atrial Fibrillation
"[6815, 9, 11445]",[-0.6158860325813293],C0074393,sertraline,TREATS,C0497327,Dementia
"[6652, 9, 539]",[-0.6166157722473145],C0070166,clopidogrel,TREATS,C0004153,Atherosclerosis
"[4157, 9, 11445]",[-0.6176025867462158],C0031412,phenobarbital,TREATS,C0497327,Dementia
"[13852, 9, 3835]",[-0.6178200244903564],C0907402,insulin glargine,TREATS,C0028754,Obesity
"[3659, 9, 1380]",[-0.6209914684295654],C0027360,naltrexone,TREATS,C0010346,Crohn Disease
"[5670, 9, 2468]",[-0.6214965581893921],C0042523,verapamil,TREATS,C0018801,Heart failure
"[6631, 9, 8952]",[-0.6219581961631775],C0069717,oxaliplatin,TREATS,C0206754,Neuroendocrine Tumors
"[17060, 9, 3844]",[-0.6238505840301514],C2983887,timolol anhydrous,TREATS,C0028840,Ocular Hypertension
"[3458, 9, 3603]",[-0.6257814168930054],C0025815,methylprednisolone,TREATS,C0026896,Myasthenia Gravis
"[11666, 9, 927]",[-0.6257858276367188],C0541315,everolimus,TREATS,C0007131,Non-Small Cell Lung Carcinoma
"[2665, 9, 929]",[-0.627963662147522],C0020336,hydroxychloroquine,TREATS,C0007134,Renal Cell Carcinoma
"[8976, 9, 506]",[-0.6295390129089355],C0209368,mycophenolate mofetil,TREATS,C0003873,Rheumatoid Arthritis
